Semaine;Chamonix (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;89,00;0,00;0,00;0,00;0,00;135,03;110,48;0,00;131,97;0,00;21,31;43,87;0,00;0,00;33,00;65,00;22,00;0,00;0,00;22,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;33,00;0,00;0,00;11,00;0,00;132,00;75,00;12,00;54,00;22,00;0,00;75,78;0,00;0,00;22,00;43,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;56,00;0,00;0,00;0,00;0,00;115,11;133,78;34,22;99,56;0,00;0,00;88,36;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00
2019-01-27;55,00;0,00;0,00;0,00;0,00;152,78;97,78;12,22;64,17;11,25;0,00;32,50;0,00;0,00;11,00;54,00;0,00;21,00;11,00;0,00;21,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00
2019-02-03;100,00;0,00;0,00;0,00;0,00;154,55;130,30;12,12;87,88;11,11;0,00;43,21;0,00;11,00;0,00;65,00;11,00;0,00;0,00;0,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00
2019-02-10;48,00;0,00;0,00;0,00;0,00;313,60;48,00;0,00;38,40;0,00;0,00;108,63;0,00;0,00;0,00;82,00;0,00;0,00;23,00;0,00;12,00;0,00;35,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;33,00;0,00;0,00;0,00;0,00;33,00;63,00;9,00;12,00;0,00;0,00;21,58;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-02-24;23,00;0,00;0,00;0,00;0,00;59,14;23,00;23,00;23,00;11,50;0,00;23,00;0,00;0,00;0,00;44,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;66,00;0,00;0,00;0,00;0,00;56,57;44,00;31,43;34,57;11,21;0,00;21,17;21,17;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;22,00;0,00;0,00;0,00;0,00;34,57;69,14;22,00;56,57;11,00;11,00;22,00;0,00;0,00;0,00;55,00;0,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00
2019-03-17;56,00;0,00;0,00;11,00;11,00;46,67;34,22;0,00;34,22;11,20;0,00;22,40;0,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;32,00;0,00;0,00;0,00;0,00;44,80;9,60;0,00;9,60;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;11,00;0,00;0,00;0,00;0,00;41,25;19,25;0,00;30,25;22,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;23,00;0,00;0,00;0,00;0,00;31,63;11,50;11,50;20,13;0,00;0,00;33,89;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;26,00;0,00;0,00;0,00;0,00;26,00;55,25;0,00;0,00;0,00;0,00;12,38;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;32,00;0,00;0,00;0,00;0,00;9,60;9,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;22,00;0,00;0,00;0,00;11,00;22,00;12,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;34,00;0,00;0,00;0,00;0,00;0,00;12,36;0,00;12,36;0,00;0,00;11,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;44,00;0,00;0,00;0,00;0,00;22,00;12,57;0,00;12,57;11,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;11,00;0,00;0,00;0,00;0,00;11,00;57,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;0,00;0,00;0,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00
2019-06-09;22,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;23,00;11,00;0,00;0,00;0,00;23,00;23,00;0,00;23,00;11,50;11,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;60,00;0,00;0,00;0,00;0,00;12,63;47,37;0,00;25,26;0,00;0,00;12,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;73,00;0,00;0,00;0,00;0,00;12,17;118,63;0,00;12,17;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;87,00;12,00;0,00;0,00;0,00;12,43;74,57;24,86;49,71;12,43;24,86;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;39,00;0,00;0,00;0,00;0,00;0,00;63,00;0,00;0,00;12,19;0,00;12,19;12,19;0,00;0,00;13,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;54,00;0,00;0,00;0,00;0,00;69,88;41,29;0,00;28,59;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;13,00;13,00;0,00;0,00;0,00
2019-07-28;37,00;0,00;0,00;0,00;0,00;12,33;49,33;0,00;12,33;12,33;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;12,00;0,00;0,00;0,00;0,00;45,00;69,00;0,00;12,00;0,00;0,00;25,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00
2019-08-11;11,00;0,00;0,00;0,00;0,00;40,33;25,67;0,00;25,67;9,78;9,78;20,78;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;44,00;11,00;0,00;0,00;0,00;22,00;56,57;0,00;22,00;22,00;0,00;11,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;56,00;0,00;0,00;0,00;0,00;34,22;56,00;12,44;21,78;22,40;0,00;0,00;0,00;11,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-09-01;11,00;0,00;0,00;0,00;0,00;102,67;25,67;0,00;25,67;0,00;0,00;20,78;0,00;0,00;0,00;31,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;32,00;0,00;0,00;0,00;0,00;44,80;44,80;0,00;0,00;0,00;0,00;0,00;9,85;0,00;10,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;22,00;0,00;0,00;0,00;0,00;22,00;31,43;9,43;9,43;0,00;0,00;33,65;0,00;0,00;0,00;53,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;43,00;0,00;0,00;0,00;0,00;64,50;30,71;0,00;0,00;10,12;10,12;11,38;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;32,00;0,00;0,00;0,00;0,00;67,20;9,60;0,00;22,40;0,00;0,00;0,00;0,00;0,00;10,00;0,00;21,00;0,00;10,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;43,00;0,00;0,00;0,00;0,00;43,00;76,79;0,00;43,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;0,00;0,00;0,00;0,00;0,00;15,00;19,00;0,00;4,00;9,00;0,00;9,00;0,00;0,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;11,00;0,00;0,00;0,00;0,00;36,67;51,33;0,00;36,67;0,00;0,00;20,78;0,00;0,00;0,00;21,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;31,00;0,00;0,00;0,00;0,00;9,30;43,40;0,00;0,00;21,08;0,00;52,08;0,00;0,00;0,00;41,00;10,00;0,00;10,00;0,00;10,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;42,00;0,00;0,00;0,00;0,00;30,00;30,00;21,00;81,00;9,88;9,88;51,88;0,00;0,00;10,00;31,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;32,00;0,00;0,00;0,00;0,00;54,40;32,00;0,00;9,60;9,85;0,00;20,92;0,00;0,00;0,00;31,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;32,00;0,00;0,00;0,00;0,00;54,40;54,40;0,00;76,80;0,00;0,00;9,85;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00
2019-11-24;20,00;0,00;0,00;0,00;0,00;57,14;57,14;28,57;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2019-12-01;32,00;0,00;0,00;0,00;0,00;76,80;22,40;0,00;9,60;21,76;0,00;10,24;0,00;10,00;10,00;52,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2019-12-08;21,00;0,00;0,00;0,00;0,00;60,00;30,00;9,00;39,00;0,00;0,00;21,00;9,88;0,00;10,00;31,00;10,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00
2019-12-15;64,00;10,00;0,00;0,00;0,00;54,86;30,48;0,00;21,33;0,00;0,00;32,00;0,00;0,00;0,00;21,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;50,00;0,00;0,00;0,00;0,00;62,50;100,00;12,50;125,00;0,00;0,00;25,00;0,00;0,00;24,00;37,00;24,00;12,00;0,00;12,00;12,00;0,00;12,00;0,00;12,00;0,00;0,00;0,00
2019-12-29;99,00;0,00;0,00;0,00;0,00;111,38;21,66;21,66;21,66;11,14;0,00;43,31;0,00;0,00;0,00;22,00;0,00;32,00;0,00;11,00;43,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00
