Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;41,00;60,79;0,00;21,21;9,90;0,00;10,00;10,00;10,00
2019-01-13;52,00;20,22;41,89;10,11;0,00;10,00;0,00;0,00;0,00
2019-01-20;31,00;19,73;0,00;21,14;0,00;0,00;0,00;10,00;10,00
2019-01-27;20,00;142,86;0,00;31,43;0,00;0,00;0,00;0,00;0,00
2019-02-03;10,00;20,00;10,00;21,43;0,00;0,00;0,00;0,00;10,00
2019-02-10;33,00;22,96;11,48;33,00;0,00;0,00;0,00;0,00;11,00
2019-02-17;10,00;30,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;11,00;23,57;11,00;69,14;0,00;21,00;10,00;0,00;10,00
2019-03-03;20,00;20,00;10,00;10,00;0,00;0,00;0,00;20,00;10,00
2019-03-10;52,00;0,00;0,00;31,78;0,00;10,00;0,00;0,00;0,00
2019-03-17;10,00;0,00;10,00;21,43;0,00;0,00;0,00;10,00;0,00
2019-03-24;10,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;32,00;10,18;10,18;32,00;0,00;0,00;10,00;0,00;21,00
2019-04-07;32,00;32,00;0,00;43,13;0,00;0,00;0,00;0,00;0,00
2019-04-14;24,00;11,29;0,00;24,00;0,00;0,00;0,00;12,00;0,00
2019-04-21;10,00;0,00;0,00;41,43;10,00;10,00;10,00;10,00;0,00
2019-04-28;10,00;10,00;0,00;40,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;20,00;30,00;20,00;51,43;0,00;0,00;0,00;0,00;10,00
2019-05-12;42,00;0,00;10,14;21,72;0,00;0,00;0,00;0,00;0,00
2019-05-19;31,00;20,67;20,67;22,14;0,00;0,00;10,00;0,00;0,00
2019-05-26;31,00;0,00;20,67;42,81;0,00;0,00;10,00;0,00;10,00
