Semaine;Nice (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;46,00;16,00;2,00;4,00;4,00;8,00;0,00;0,00;0,00
2019-01-13;34,00;6,00;6,00;2,00;8,00;4,00;0,00;0,00;0,00
2019-01-20;22,00;4,00;2,00;8,00;2,00;4,00;2,00;0,00;0,00
2019-01-27;22,00;8,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-02-03;8,00;0,00;6,00;0,00;6,00;2,00;6,00;4,00;0,00
2019-02-10;9,00;4,00;4,00;0,00;4,00;0,00;0,00;2,00;0,00
2019-02-17;20,00;8,00;2,00;0,00;2,00;4,00;2,00;0,00;0,00
2019-02-24;16,00;6,00;6,00;0,00;6,00;6,00;0,00;0,00;2,00
2019-03-03;22,00;8,00;6,00;0,00;2,00;4,00;8,00;2,00;0,00
2019-03-10;30,00;4,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-17;8,00;2,00;2,00;0,00;2,00;4,00;0,00;0,00;0,00
2019-03-24;21,00;6,00;2,00;2,00;2,00;2,00;0,00;2,00;0,00
2019-03-31;39,00;2,00;4,00;2,00;2,00;2,00;2,00;6,00;0,00
2019-04-07;36,00;4,00;6,00;0,00;2,00;2,00;0,00;0,00;0,00
2019-04-14;54,00;2,00;2,00;5,00;7,00;2,00;2,00;0,00;0,00
2019-04-21;49,00;6,00;2,00;0,00;0,00;4,00;0,00;2,00;0,00
2019-04-28;44,00;4,00;6,00;4,00;0,00;4,00;2,00;0,00;0,00
2019-05-05;38,00;10,00;4,00;0,00;2,00;2,00;0,00;0,00;0,00
2019-05-12;27,00;6,00;0,00;8,00;6,00;14,00;2,00;0,00;0,00
2019-05-19;60,00;6,00;2,00;0,00;10,00;2,00;8,00;0,00;0,00
2019-05-26;40,00;10,00;6,00;6,00;6,00;0,00;4,00;2,00;2,00
2019-06-02;44,00;6,00;2,00;4,00;6,00;6,00;4,00;6,00;0,00
2019-06-09;34,00;12,00;2,00;0,00;2,00;6,00;6,00;2,00;0,00
2019-06-16;57,00;8,00;4,00;2,00;4,00;8,00;4,00;2,00;0,00
2019-06-23;58,00;9,00;6,00;4,00;2,00;2,00;2,00;4,00;0,00
2019-06-30;73,00;6,00;4,00;4,00;4,00;6,00;6,00;2,00;0,00
2019-07-07;90,00;11,00;9,00;4,00;11,00;7,00;7,00;9,00;2,00
2019-07-14;100,00;9,00;9,00;0,00;9,00;2,00;5,00;0,00;0,00
2019-07-21;75,00;12,00;12,00;7,00;0,00;7,00;0,00;0,00;0,00
2019-07-28;40,00;4,00;2,00;4,00;6,00;2,00;0,00;0,00;0,00
2019-08-04;36,00;4,00;2,00;0,00;2,00;4,00;4,00;4,00;0,00
2019-08-11;33,00;10,00;2,00;2,00;2,00;9,00;0,00;0,00;0,00
2019-08-18;40,00;6,00;4,00;2,00;8,00;4,00;2,00;0,00;0,00
2019-08-25;18,00;2,00;2,00;4,00;6,00;8,00;2,00;4,00;0,00
2019-09-01;31,00;9,00;6,00;4,00;0,00;4,00;6,00;2,00;2,00
2019-09-08;41,00;10,00;4,00;4,00;4,00;4,00;2,00;2,00;0,00
2019-09-15;22,00;6,00;4,00;2,00;8,00;4,00;2,00;4,00;0,00
