Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;14,00;22,91;3,82;0,00;0,00;0,00;0,00;0,00;0,00;3,50;66,50;42,00;0,00;0,00;4,67;51,33;0,00;0,00;0,00;4,00;4,00
2019-01-13;44,00;25,88;0,00;0,00;0,00;4,00;0,00;0,00;0,00;12,57;31,43;44,00;3,14;0,00;0,00;39,11;0,00;4,00;0,00;0,00;9,00
2019-01-20;25,00;32,89;0,00;0,00;0,00;4,00;0,00;4,00;0,00;9,38;50,00;37,50;0,00;0,00;0,00;97,50;0,00;0,00;0,00;0,00;16,67
2019-01-27;25,00;25,00;3,95;7,89;0,00;0,00;0,00;0,00;0,00;15,63;15,63;50,00;3,13;5,00;0,00;75,00;7,50;0,00;0,00;4,00;8,00
2019-02-03;18,00;39,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;48,00;0,00;0,00;5,14;28,29;0,00;0,00;4,00;0,00;0,00
2019-02-10;18,00;43,71;3,86;0,00;0,00;0,00;0,00;0,00;0,00;12,00;30,00;42,00;0,00;0,00;5,14;41,14;0,00;0,00;0,00;4,00;9,00
2019-02-17;49,00;39,73;0,00;0,00;0,00;4,00;0,00;0,00;4,00;9,80;32,67;91,47;9,80;0,00;0,00;61,89;5,16;0,00;0,00;0,00;0,00
2019-02-24;62,00;38,75;12,92;0,00;0,00;4,00;0,00;0,00;0,00;3,10;31,00;65,10;0,00;0,00;0,00;17,36;0,00;0,00;9,15;0,00;0,00
2019-03-03;23,00;57,50;3,83;0,00;0,00;0,00;0,00;0,00;0,00;9,86;32,86;65,71;0,00;0,00;0,00;51,11;0,00;0,00;0,00;9,00;0,00
2019-03-10;27,00;39,86;3,86;0,00;0,00;0,00;0,00;0,00;4,00;3,00;30,00;69,00;0,00;0,00;4,91;44,18;9,82;0,00;4,00;4,00;4,00
2019-03-17;55,00;58,93;9,17;0,00;0,00;0,00;0,00;0,00;0,00;9,71;19,41;93,82;0,00;0,00;0,00;72,50;5,00;0,00;0,00;4,07;9,17
2019-03-24;41,00;66,63;8,97;3,84;0,00;4,00;0,00;0,00;0,00;12,62;37,85;69,38;3,15;5,13;5,13;74,31;5,13;0,00;4,00;0,00;4,00
2019-03-31;48,00;60,97;0,00;0,00;0,00;9,00;0,00;0,00;4,00;9,60;57,60;128,00;0,00;5,05;0,00;78,32;0,00;0,00;0,00;0,00;8,17
2019-04-07;26,00;29,90;7,80;0,00;3,90;0,00;0,00;4,00;4,00;3,25;58,50;110,50;3,25;0,00;0,00;96,20;0,00;0,00;0,00;4,00;17,00
2019-04-14;28,00;80,00;4,00;0,00;0,00;5,00;4,00;0,00;13,00;3,11;46,67;146,22;0,00;0,00;5,09;134,91;0,00;0,00;0,00;0,00;18,67
2019-04-21;66,00;91,88;3,88;0,00;0,00;0,00;0,00;0,00;0,00;15,71;56,57;94,29;0,00;5,08;0,00;190,38;0,00;0,00;0,00;0,00;9,00
2019-04-28;40,00;38,71;9,03;0,00;0,00;13,00;0,00;0,00;4,00;9,23;55,38;86,15;0,00;0,00;7,50;105,00;0,00;0,00;8,21;0,00;17,44
2019-05-05;30,00;61,30;3,91;0,00;0,00;4,00;0,00;0,00;4,00;3,00;57,00;105,00;0,00;0,00;5,00;107,50;0,00;0,00;4,00;0,00;17,00
2019-05-12;18,00;38,57;0,00;3,86;0,00;4,00;0,00;0,00;0,00;9,00;66,00;81,00;0,00;0,00;5,14;120,86;0,00;4,24;0,00;4,24;8,47
2019-05-19;35,00;29,81;3,89;12,96;0,00;0,00;0,00;0,00;13,00;9,55;44,55;130,45;0,00;0,00;0,00;85,00;7,50;0,00;0,00;4,12;4,12
2019-05-26;34,00;37,92;3,92;13,08;7,85;17,00;0,00;8,00;4,00;9,27;64,91;108,18;9,27;0,00;4,86;106,86;4,86;0,00;4,00;4,00;4,00
2019-06-02;93,00;117,54;0,00;7,75;0,00;4,00;0,00;0,00;4,00;9,30;68,20;55,80;9,30;0,00;0,00;251,35;0,00;0,00;4,04;8,09;20,22
2019-06-09;30,00;54,78;7,83;0,00;0,00;4,00;0,00;4,00;0,00;3,33;66,67;140,00;0,00;0,00;0,00;142,50;0,00;0,00;0,00;4,14;4,14
2019-06-16;63,00;76,13;9,19;3,94;3,94;0,00;0,00;0,00;13,00;9,45;53,55;138,60;0,00;0,00;5,04;115,92;0,00;0,00;4,06;13,21;4,06
2019-06-23;83,00;81,70;18,16;3,89;0,00;0,00;0,00;0,00;9,00;12,77;89,38;150,04;0,00;0,00;10,06;105,64;5,03;0,00;13,16;0,00;13,16
2019-06-30;59,00;131,11;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;93,16;133,53;9,32;0,00;0,00;164,17;0,00;0,00;0,00;13,22;13,22
2019-07-07;48,00;86,92;12,97;0,00;0,00;9,00;0,00;4,00;13,00;0,00;92,80;169,60;0,00;7,58;7,58;247,58;0,00;0,00;8,17;4,09;17,36
2019-07-14;87,00;81,81;0,00;3,90;3,90;13,00;0,00;9,00;4,00;0,00;71,46;149,14;0,00;0,00;0,00;183,94;9,94;0,00;0,00;4,05;18,21
2019-07-21;79,00;88,22;0,00;0,00;0,00;18,00;0,00;4,00;13,00;0,00;101,12;154,84;3,16;0,00;0,00;188,58;0,00;0,00;0,00;9,12;22,28
2019-07-28;100,00;84,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,13;84,38;131,25;0,00;0,00;5,00;195,00;5,00;0,00;0,00;0,00;18,18
2019-08-04;72,00;100,80;9,16;0,00;0,00;5,00;0,00;0,00;5,00;21,91;84,52;144,00;18,78;5,14;0,00;226,29;5,14;0,00;0,00;5,07;23,32
2019-08-11;77,00;80,92;5,22;5,22;14,36;5,00;0,00;5,00;14,00;3,21;112,29;253,46;9,63;10,27;0,00;207,90;10,27;0,00;0,00;0,00;23,30
2019-08-18;74,00;68,81;9,09;0,00;0,00;9,00;0,00;0,00;4,00;9,65;128,70;102,96;3,22;0,00;0,00;102,07;5,10;0,00;0,00;4,05;18,25
2019-08-25;40,00;87,74;16,77;3,87;3,87;0,00;0,00;0,00;4,00;3,08;113,85;92,31;0,00;0,00;0,00;110,00;0,00;0,00;9,00;0,00;4,00
2019-09-01;13,00;54,60;0,00;3,90;0,00;8,00;0,00;0,00;4,00;0,00;104,00;87,75;0,00;0,00;0,00;106,60;0,00;0,00;4,00;0,00;16,00
2019-09-08;21,00;45,94;19,69;0,00;0,00;0,00;4,00;0,00;4,00;3,00;108,00;51,00;0,00;0,00;0,00;63,00;0,00;0,00;0,00;4,00;20,00
2019-09-15;33,00;29,04;0,00;7,92;0,00;0,00;0,00;0,00;0,00;0,00;99,00;69,30;3,30;0,00;0,00;86,31;0,00;4,00;0,00;8,00;4,00
2019-09-22;17,00;28,77;3,92;0,00;3,92;4,00;0,00;0,00;4,00;0,00;139,40;40,80;0,00;0,00;0,00;80,14;0,00;0,00;0,00;4,00;28,00
2019-09-29;12,00;33,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;90,00;42,00;9,00;0,00;0,00;45,60;0,00;0,00;4,00;0,00;4,00
2019-10-06;8,00;17,33;4,00;0,00;0,00;12,00;0,00;4,00;8,00;2,67;61,33;32,00;0,00;5,33;0,00;64,00;0,00;0,00;4,00;0,00;12,00
2019-10-13;28,00;31,82;11,45;3,82;3,82;0,00;0,00;0,00;0,00;0,00;112,00;40,44;3,11;0,00;5,09;35,64;0,00;0,00;12,00;4,00;0,00
2019-10-20;36,00;47,57;0,00;0,00;7,71;4,00;0,00;0,00;0,00;0,00;104,73;49,09;0,00;0,00;0,00;28,29;0,00;0,00;0,00;4,00;8,00
2019-10-27;41,00;41,00;7,94;0,00;0,00;0,00;0,00;0,00;4,00;0,00;148,23;31,54;0,00;0,00;5,13;53,81;0,00;0,00;4,10;0,00;4,10
2019-11-03;32,00;19,20;0,00;0,00;0,00;12,00;0,00;4,00;8,00;3,20;121,60;32,00;0,00;0,00;0,00;68,92;0,00;0,00;4,00;0,00;0,00
2019-11-10;16,00;28,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;3,20;121,60;44,80;0,00;0,00;0,00;21,33;0,00;0,00;0,00;0,00;8,00
2019-11-17;12,00;8,00;12,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;102,00;42,00;0,00;0,00;4,80;12,00;0,00;0,00;0,00;8,00;15,00
2019-11-24;19,00;22,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,17;123,50;44,33;0,00;0,00;2,38;40,38;0,00;0,00;0,00;0,00;15,00
2019-12-01;12,00;22,80;3,60;0,00;3,60;0,00;0,00;0,00;0,00;3,00;135,00;27,00;0,00;4,80;4,80;74,40;0,00;0,00;4,00;0,00;12,00
2019-12-08;8,00;21,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,67;77,33;37,33;0,00;0,00;5,33;50,67;0,00;0,00;0,00;4,00;0,00
2019-12-15;16,00;33,33;0,00;0,00;0,00;0,00;0,00;0,00;4,00;3,20;67,20;25,60;0,00;0,00;0,00;29,33;0,00;0,00;4,00;0,00;4,00
2019-12-22;14,00;9,80;4,20;0,00;0,00;4,00;0,00;0,00;4,00;0,00;105,00;49,00;3,50;0,00;5,60;70,00;8,40;9,69;0,00;4,31;18,31
2019-12-29;27,00;43,71;3,86;0,00;0,00;4,00;0,00;0,00;0,00;3,38;94,50;43,88;0,00;0,00;0,00;63,82;4,91;0,00;4,15;4,15;9,35
2020-01-05;16,00;45,33;0,00;8,00;0,00;0,00;0,00;0,00;0,00;3,20;86,40;51,20;0,00;0,00;0,00;72,00;0,00;0,00;4,00;0,00;8,00
2020-01-12;38,00;30,14;3,93;3,93;0,00;0,00;0,00;0,00;0,00;3,17;79,17;63,33;0,00;0,00;0,00;60,80;0,00;0,00;7,19;0,00;0,00
2020-01-19;22,00;44,00;0,00;0,00;3,88;0,00;0,00;0,00;0,00;0,00;88,00;66,00;0,00;0,00;0,00;88,00;0,00;0,00;0,00;0,00;7,00
2020-01-26;27,00;56,57;14,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;64,13;54,00;0,00;2,45;0,00;66,27;2,45;0,00;4,15;4,15;7,27
2020-02-02;39,00;76,70;3,90;0,00;3,90;4,00;0,00;0,00;4,00;6,50;68,25;48,75;0,00;0,00;2,60;130,00;0,00;0,00;7,18;0,00;4,11
2020-02-09;38,00;41,93;11,79;0,00;3,93;11,00;0,00;0,00;7,00;22,17;41,17;104,50;0,00;0,00;0,00;152,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;39,00;39,00;0,00;0,00;3,90;0,00;0,00;0,00;0,00;3,25;65,00;81,25;0,00;0,00;0,00;93,60;7,80;0,00;0,00;4,11;11,29
