Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;39,00;6,00;6,00;2,00;0,00;4,00;0,00;2,00;0,00;0,00;6,00;44,00;2,00;0,00;0,00;65,81;0,00;0,00;13,00;6,00;4,00
2019-01-13;36,00;5,00;5,00;2,00;2,00;4,00;0,00;0,00;7,00;0,00;6,00;30,00;2,00;0,00;0,00;79,20;0,00;2,00;2,00;5,00;6,00
2019-01-20;36,00;4,00;4,00;4,00;2,00;4,00;0,00;0,00;0,00;0,00;5,00;20,00;0,00;0,00;0,00;52,80;0,00;0,00;2,00;0,00;5,00
2019-01-27;47,00;2,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;4,00;5,00;22,00;0,00;2,47;4,95;49,47;2,47;0,00;11,00;5,00;5,00
2019-02-03;51,00;4,00;11,00;0,00;0,00;5,00;0,00;0,00;2,00;0,00;7,00;42,00;2,00;0,00;0,00;58,29;0,00;0,00;0,00;9,00;9,00
2019-02-10;61,00;4,00;6,00;4,00;4,00;4,00;0,00;0,00;2,00;4,00;4,00;21,00;0,00;0,00;0,00;63,44;2,44;0,00;0,00;7,00;6,00
2019-02-17;55,00;4,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;6,00;35,00;0,00;0,00;0,00;64,57;0,00;0,00;6,00;2,00;0,00
2019-02-24;53,00;6,00;7,00;0,00;2,00;7,00;0,00;2,00;2,00;2,00;13,00;32,00;5,00;0,00;2,41;57,82;2,41;0,00;7,00;2,00;2,00
2019-03-03;47,00;4,00;5,00;2,00;0,00;4,00;0,00;0,00;7,00;2,00;11,00;30,00;0,00;0,00;0,00;70,50;2,35;0,00;7,00;5,00;15,00
2019-03-10;50,00;4,00;6,00;0,00;0,00;4,00;0,00;2,00;2,00;7,00;7,00;30,00;0,00;0,00;0,00;73,81;0,00;0,00;0,00;2,00;0,00
2019-03-17;36,00;2,00;2,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;8,00;41,00;0,00;0,00;0,00;64,80;0,00;0,00;0,00;2,00;8,00
