Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;39,00;10,64;10,64;8,86;8,86;13,00;5,00;3,00;0,00;4,00;0,00;3,00;4,00;0,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00
2019-01-13;44,00;12,32;3,52;12,32;14,08;7,00;3,00;3,00;0,00;0,00;0,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;44,00;8,80;7,04;1,76;1,76;10,00;4,00;5,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-01-27;17,00;7,56;7,56;3,78;9,44;11,00;5,00;1,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00
2019-02-03;21,00;8,75;3,50;1,75;1,75;10,00;5,00;5,00;1,00;3,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00
2019-02-10;24,00;8,57;8,57;6,86;1,71;8,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;1,00;0,00;0,00;1,00;0,00
2019-02-17;27,00;9,00;5,40;3,60;1,80;7,00;12,00;4,00;0,00;1,00;1,00;1,00;4,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;1,00
2019-02-24;36,00;5,40;7,20;5,40;7,20;9,00;9,00;3,00;1,00;3,00;4,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00
2019-03-03;29,00;11,94;0,00;1,71;5,12;1,00;12,00;4,00;0,00;1,00;1,00;1,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-03-10;31,00;12,06;6,89;10,33;10,33;13,00;9,00;5,00;0,00;1,00;1,00;8,00;3,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-17;22,00;8,46;6,77;3,38;1,69;8,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00
2019-03-24;28,00;7,00;1,75;5,25;7,00;3,00;5,00;3,00;3,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;47,00;6,96;6,96;3,48;3,48;13,00;9,00;5,00;0,00;1,00;1,00;0,00;3,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-04-07;65,00;10,54;7,03;8,78;3,51;12,00;8,00;4,00;1,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-04-14;47,00;13,93;3,48;8,70;12,19;23,00;8,00;1,00;3,00;1,00;3,00;0,00;3,00;0,00;1,00;1,00;4,00;1,00;1,00;0,00;0,00
2019-04-21;53,00;8,83;5,30;8,83;15,90;21,00;10,00;12,00;0,00;4,00;0,00;1,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-28;61,00;6,97;6,97;13,94;8,71;18,00;8,00;9,00;0,00;1,00;1,00;1,00;4,00;0,00;3,00;0,00;0,00;0,00;1,00;3,00;0,00
2019-05-05;58,00;12,30;7,03;21,09;7,03;10,00;13,00;8,00;2,00;1,00;2,00;4,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-12;59,00;17,35;6,94;17,35;15,62;18,00;14,00;4,00;0,00;1,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;1,00;0,00
2019-05-19;57,00;12,47;7,13;12,47;8,91;6,00;13,00;11,00;0,00;1,00;0,00;4,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;44,00;12,32;8,80;17,60;7,04;22,00;8,00;9,00;1,00;0,00;4,00;3,00;3,00;0,00;4,00;1,00;0,00;0,00;0,00;3,00;0,00
2019-06-02;54,00;13,94;5,23;17,42;8,71;23,00;11,00;10,00;0,00;1,00;4,00;4,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;60,00;14,12;5,29;19,41;5,29;21,00;7,00;7,00;2,00;2,00;5,00;1,00;7,00;0,00;2,00;1,00;1,00;0,00;1,00;1,00;0,00
2019-06-16;57,00;15,55;3,45;10,36;8,64;23,00;10,00;8,00;0,00;1,00;4,00;2,00;6,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-06-23;56,00;12,25;5,25;24,50;15,75;14,00;13,00;12,00;0,00;6,00;6,00;3,00;3,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;73,00;26,71;14,24;7,12;7,12;12,00;15,00;8,00;3,00;3,00;3,00;3,00;5,00;0,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-07-07;64,00;27,68;12,11;22,49;20,76;38,00;9,00;10,00;0,00;2,00;0,00;6,00;4,00;1,00;4,00;0,00;0,00;0,00;1,00;1,00;0,00
