Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;32,00;44,00;20,00;16,00;0,00;4,00;0,00;20,00;4,00
2019-01-13;24,00;56,00;28,00;52,00;8,00;4,00;8,00;16,00;0,00
2019-01-20;27,00;42,00;19,00;57,00;0,00;8,10;14,85;16,20;4,05
2019-01-27;23,00;42,00;15,00;30,00;0,00;0,00;4,06;43,29;14,88
2019-02-03;31,00;24,00;12,00;31,00;8,00;7,75;3,88;27,13;3,88
2019-02-10;16,00;40,00;16,00;28,00;4,00;0,00;0,00;44,00;4,00
2019-02-17;16,00;28,00;8,00;28,00;4,00;12,00;0,00;20,00;0,00
2019-02-24;36,00;44,00;24,00;36,00;0,00;4,00;0,00;28,00;4,00
2019-03-03;28,00;36,00;12,00;24,00;4,00;0,00;8,00;20,00;4,00
2019-03-10;23,00;35,00;12,00;12,00;0,00;7,67;7,67;15,33;3,83
2019-03-17;12,00;39,00;4,00;8,00;0,00;0,00;4,00;24,00;0,00
2019-03-24;40,00;32,00;12,00;24,00;4,00;4,00;4,00;20,00;8,00
2019-03-31;40,00;16,00;12,00;24,00;0,00;3,87;7,74;23,23;7,74
2019-04-07;12,00;27,00;16,00;0,00;0,00;4,00;0,00;34,67;8,00
2019-04-14;37,00;8,00;4,00;25,00;0,00;3,96;3,96;21,14;15,86
2019-04-21;12,00;37,00;4,00;16,00;0,00;12,00;8,00;21,33;12,00
2019-04-28;15,00;31,00;4,00;19,00;0,00;3,75;0,00;21,25;7,50
2019-05-05;11,00;35,00;19,00;42,00;7,00;3,67;3,67;20,78;7,33
2019-05-12;39,00;12,00;8,00;35,00;0,00;0,00;0,00;27,30;3,90
2019-05-19;31,00;12,00;19,00;15,00;0,00;0,00;8,09;22,91;12,13
2019-05-26;31,00;31,00;4,00;23,00;4,00;0,00;7,75;7,75;7,75
2019-06-02;22,00;22,00;18,00;22,00;0,00;3,88;10,35;18,12;7,76
2019-06-09;26,00;45,00;30,00;11,00;4,00;10,40;7,80;18,20;0,00
2019-06-16;15,00;11,00;11,00;38,00;4,00;0,00;11,25;25,00;3,75
2019-06-23;12,00;23,00;16,00;31,00;4,00;0,00;4,00;12,00;4,00
2019-06-30;46,00;35,00;8,00;39,00;4,00;0,00;11,83;23,66;7,89
2019-07-07;11,00;15,00;0,00;38,00;4,00;0,00;3,67;24,44;11,00
2019-07-14;20,00;16,00;12,00;40,00;4,00;0,00;12,00;24,00;8,00
2019-07-21;17,00;53,00;18,00;70,00;4,00;3,92;3,92;34,00;3,92
2019-07-28;21,00;26,00;13,00;39,00;4,00;0,00;3,94;34,13;7,88
2019-08-04;48,00;48,00;31,00;35,00;4,00;3,89;3,89;33,73;25,95
2019-08-11;24,00;40,00;8,00;32,00;12,00;4,00;8,00;28,00;0,00
2019-08-18;58,00;12,00;16,00;12,00;4,00;0,00;3,95;25,05;0,00
2019-08-25;36,00;56,00;8,00;36,00;0,00;0,00;0,00;48,00;8,00
2019-09-01;8,00;27,00;30,00;38,00;4,00;4,00;8,00;26,67;12,00
2019-09-08;8,00;19,00;8,00;34,00;0,00;4,00;8,00;34,67;12,00
2019-09-15;26,00;38,00;27,00;30,00;4,00;0,00;7,80;22,10;7,80
2019-09-22;22,00;22,00;15,00;33,00;4,00;0,00;3,88;14,24;3,88
