Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;36,00;16,00;2,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;4,00;10,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;28,00;12,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;35,00;15,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;2,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;16,00;13,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;16,00;12,00;2,00;8,00;4,00;0,00;0,00;0,00;0,00;2,00;7,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-02-10;10,00;11,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;2,00;13,00;2,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-02-17;30,00;18,00;2,00;4,00;2,00;0,00;0,00;0,00;0,00;4,00;4,00;16,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-02-24;24,00;27,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;9,00;8,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;31,00;8,00;2,00;2,00;4,00;2,00;0,00;0,00;2,00;4,00;6,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;28,00;6,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;8,00;12,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;24,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-03-24;23,00;17,00;2,00;2,00;6,00;0,00;0,00;0,00;2,00;2,00;7,00;13,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-31;40,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;6,00;16,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;28,00;22,00;0,00;2,00;8,00;0,00;0,00;0,00;0,00;4,00;4,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;13,00;13,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;8,00;15,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;2,00
2019-04-21;39,00;18,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;8,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2019-04-28;49,00;21,00;0,00;2,00;4,00;0,00;2,00;0,00;0,00;2,00;11,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;38,00;22,00;4,00;4,00;2,00;0,00;0,00;0,00;2,00;0,00;4,00;28,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;34,00;15,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;7,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;56,00;15,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;9,00;17,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;41,00;10,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;11,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;60,00;16,00;2,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;6,00;22,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-06-09;40,00;29,00;2,00;6,00;6,00;0,00;0,00;0,00;2,00;4,00;15,00;18,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-06-16;41,00;23,00;2,00;12,00;8,00;0,00;0,00;0,00;0,00;4,00;35,00;25,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-06-23;71,00;44,00;4,00;6,00;8,00;0,00;0,00;0,00;2,00;2,00;19,00;48,00;0,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-06-30;93,00;43,00;2,00;8,00;10,00;0,00;0,00;0,00;0,00;8,00;19,00;45,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;100,00;45,00;2,00;8,00;6,00;0,00;0,00;2,00;2,00;4,00;22,00;49,00;0,00;0,00;4,00;2,00;0,00;2,00;0,00;0,00;0,00
2019-07-14;88,00;19,00;0,00;8,00;6,00;0,00;0,00;2,00;2,00;4,00;23,00;29,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;80,00;30,00;2,00;6,00;4,00;0,00;0,00;2,00;0,00;2,00;17,00;37,00;0,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-07-28;55,00;23,00;0,00;2,00;6,00;0,00;0,00;0,00;0,00;2,00;6,00;15,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-08-04;62,00;25,00;0,00;6,00;4,00;2,00;0,00;0,00;0,00;2,00;17,00;20,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;69,00;21,00;2,00;2,00;9,00;0,00;0,00;0,00;2,00;2,00;7,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;40,00;36,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;2,00;6,00;11,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;43,00;39,00;5,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;9,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;35,00;11,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;7,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;15,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;7,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;32,00;7,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;4,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;32,00;11,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;11,00;13,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;46,00;7,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00;3,00;18,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-10-06;20,00;5,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;4,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-10-13;22,00;0,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;26,00;9,00;0,00;2,00;2,00;0,00;0,00;2,00;0,00;0,00;4,00;9,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;23,00;9,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;4,00;6,00;0,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-11-03;26,00;7,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;16,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;11,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;16,00;11,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;12,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;3,00;2,00;7,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-12-01;22,00;11,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;11,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;17,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;33,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;4,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;31,00;6,00;6,00;2,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;29,00;14,00;2,00;2,00;5,00;0,00;0,00;0,00;2,00;3,00;7,00;14,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00
2020-01-12;36,00;8,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;13,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;30,00;15,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2020-01-26;23,00;14,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;7,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;44,00;12,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;7,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;41,00;10,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;33,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2020-02-23;19,00;13,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;3,00;10,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;17,00;10,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;5,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;17,00;5,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;12,00;3,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00;3,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00
