Semaine;Chamonix (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;87,00;0,00;0,00;18,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;18,00;0,00;0,00;4,00;9,00;0,00;32,00;27,00;13,00;36,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00
2019-01-13;55,00;0,00;4,00;14,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;50,00;9,00;4,00;0,00;4,00;9,00;55,00;23,00;18,00;13,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-01-20;71,00;0,00;9,00;22,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;22,00;4,00;4,00;0,00;13,00;0,00;22,00;13,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;95,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;13,00;4,00;9,00;0,00;0,00;0,00;36,00;9,00;22,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;86,00;0,00;0,00;13,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;4,00;0,00;58,00;22,00;22,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;63,00;0,00;4,00;9,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;36,00;13,00;9,00;0,00;18,00;4,00;67,00;4,00;18,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;60,00;0,00;0,00;14,00;0,00;0,00;5,00;0,00;5,00;0,00;9,00;41,00;0,00;5,00;0,00;5,00;0,00;87,00;18,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;77,00;0,00;0,00;9,00;0,00;9,00;4,00;0,00;0,00;0,00;4,00;41,00;4,00;9,00;0,00;4,00;0,00;27,00;13,00;18,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;81,00;4,00;4,00;18,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;22,00;0,00;4,00;0,00;9,00;0,00;36,00;22,00;4,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;100,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;9,00;9,00;4,00;9,00;0,00;9,00;0,00;27,00;40,00;9,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;63,00;0,00;0,00;18,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;18,00;49,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;53,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;18,00;22,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;32,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;9,00;5,00;0,00;0,00;0,00;0,00;18,00;9,00;14,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;23,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;15,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;41,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;13,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;44,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;22,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;32,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;14,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;23,00;0,00;4,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;30,00;0,00;0,00;5,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;28,00;0,00;0,00;9,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;60,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
