Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;20,00;125,00;18,75;28,75;0,00;10,00;0,00;30,00;0,00
2019-01-13;41,00;82,00;30,42;30,42;0,00;20,00;0,00;20,00;10,00
2019-01-20;20,00;69,33;38,67;20,00;0,00;10,00;10,00;19,00;19,00
2019-01-27;30,00;69,13;58,70;30,00;0,00;10,00;0,00;0,00;10,00
2019-02-03;20,00;90,67;29,33;30,67;0,00;10,00;10,00;0,00;0,00
2019-02-10;20,00;80,00;0,00;30,67;9,33;29,00;0,00;0,00;0,00
2019-02-17;31,00;72,78;31,00;31,00;0,00;20,00;0,00;10,00;20,00
2019-02-24;30,00;40,43;10,43;70,43;9,13;10,00;0,00;20,00;10,00
2019-03-03;10,00;28,75;0,00;0,00;8,75;0,00;0,00;10,00;10,00
2019-03-10;41,00;60,84;19,84;19,84;9,26;10,00;0,00;20,00;49,00
2019-03-17;30,00;39,13;9,13;30,00;0,00;20,00;19,00;0,00;29,00
2019-03-24;59,00;68,18;9,18;39,33;0,00;0,00;29,00;10,00;38,00
2019-03-31;51,00;70,62;30,08;19,62;10,46;30,00;10,00;0,00;0,00
2019-04-07;62,00;51,45;0,00;51,45;0,00;40,00;10,00;10,00;0,00
2019-04-14;22,00;22,00;10,35;32,35;10,35;0,00;0,00;0,00;0,00
2019-04-21;42,00;40,69;19,69;31,50;0,00;20,00;10,00;20,00;20,00
2019-04-28;10,00;75,00;8,75;18,75;0,00;10,00;0,00;0,00;10,00
2019-05-05;29,00;77,77;29,00;48,77;0,00;0,00;0,00;19,00;19,00
2019-05-12;39,00;28,60;0,00;39,00;0,00;0,00;10,00;0,00;19,00
2019-05-19;39,00;28,60;19,50;9,10;0,00;29,00;10,00;10,00;0,00
2019-05-26;10,00;47,50;8,75;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;21,00;31,50;0,00;0,00;0,00;0,00;10,00;0,00;0,00
2019-06-09;20,00;28,75;0,00;38,75;0,00;0,00;0,00;10,00;10,00
2019-06-16;0,00;33,00;24,00;8,00;8,00;22,00;0,00;0,00;0,00
2019-06-23;31,00;50,38;10,33;20,67;0,00;0,00;0,00;0,00;0,00
2019-06-30;83,00;10,54;10,54;0,00;10,54;10,00;0,00;0,00;0,00
2019-07-07;43,00;10,75;0,00;64,50;10,75;10,00;0,00;0,00;0,00
2019-07-14;33,00;54,12;10,56;43,56;0,00;11,00;0,00;11,00;0,00
2019-07-21;80,00;22,67;10,67;34,67;0,00;11,00;0,00;11,00;0,00
2019-07-28;43,00;43,00;20,85;43,00;0,00;11,00;0,00;11,00;21,00
2019-08-04;41,00;41,00;30,42;51,58;0,00;40,00;10,00;0,00;0,00
2019-08-11;69,00;49,10;0,00;39,81;0,00;19,00;0,00;0,00;0,00
2019-08-18;30,00;9,55;9,55;50,45;0,00;10,00;0,00;0,00;0,00
2019-08-25;58,00;38,23;27,68;19,77;0,00;9,00;9,00;0,00;9,00
2019-09-01;76,00;83,86;27,52;28,83;0,00;0,00;0,00;9,00;0,00
2019-09-08;57,00;27,84;0,00;27,84;9,28;9,00;9,00;0,00;0,00
2019-09-15;19,00;36,73;8,87;27,87;0,00;19,00;0,00;9,00;9,00
2019-09-22;28,00;63,64;17,82;26,73;8,91;28,00;9,00;9,00;28,00
2019-09-29;28,00;37,33;37,33;84,00;0,00;18,00;0,00;0,00;0,00
2019-10-06;37,00;74,00;0,00;37,00;0,00;9,00;9,00;9,00;9,00
2019-10-13;9,00;81,00;18,00;45,00;0,00;9,00;9,00;0,00;0,00
2019-10-20;9,00;54,00;27,00;27,00;0,00;18,00;18,00;9,00;9,00
2019-10-27;30,00;40,91;20,45;40,91;0,00;0,00;0,00;0,00;10,00
2019-11-03;47,00;82,25;45,69;101,83;0,00;0,00;9,00;0,00;0,00
2019-11-10;37,00;46,25;37,00;9,25;0,00;9,00;9,00;9,00;9,00
2019-11-17;37,00;46,25;27,75;37,00;9,25;9,00;9,00;9,00;0,00
2019-11-24;36,00;54,67;0,00;9,33;0,00;9,00;9,00;9,00;17,00
2019-12-01;19,00;85,50;19,00;47,50;0,00;18,00;0,00;0,00;18,00
2019-12-08;28,00;56,00;9,33;37,33;0,00;0,00;18,00;0,00;9,00
2019-12-15;48,00;84,32;18,16;9,08;0,00;9,00;9,00;9,00;0,00
2019-12-22;31,00;102,04;20,67;31,00;0,00;10,00;0,00;0,00;10,00
2019-12-29;60,00;88,70;19,57;19,57;0,00;39,00;0,00;10,00;20,00
2020-01-05;46,00;109,09;44,69;36,80;0,00;54,00;9,00;27,00;36,00
2020-01-12;35,00;76,48;0,00;35,00;0,00;9,00;0,00;9,00;9,00
2020-01-19;27,00;0,00;16,71;18,00;0,00;35,00;17,00;9,00;18,00
2020-01-26;9,00;60,43;16,71;34,71;9,00;0,00;9,00;17,00;17,00
2020-02-02;9,00;60,43;0,00;25,71;0,00;35,00;0,00;18,00;0,00
2020-02-09;64,00;44,41;9,14;53,55;0,00;9,00;0,00;18,00;18,00
2020-02-16;54,00;71,12;9,22;54,00;0,00;9,00;0,00;9,00;0,00
2020-02-23;26,00;52,00;16,90;26,00;0,00;9,00;0,00;9,00;0,00
2020-03-01;35,00;25,93;24,63;9,07;0,00;9,00;0,00;0,00;0,00
2020-03-08;17,00;34,00;41,85;24,85;7,85;0,00;8,00;0,00;8,00
2020-03-15;34,00;49,69;7,85;41,85;7,85;0,00;33,00;0,00;8,00
2020-03-22;33,00;0,00;0,00;25,08;0,00;8,00;24,00;0,00;16,00
2020-03-29;25,00;48,68;31,58;64,47;0,00;16,00;16,00;0,00;8,00
2020-04-05;36,00;26,67;0,00;17,33;9,33;9,00;17,00;9,00;17,00
2020-04-12;83,00;25,03;15,81;50,06;0,00;0,00;16,00;0,00;16,00
2020-04-19;9,00;57,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;33,00;33,00;15,84;15,84;7,92;0,00;16,00;0,00;24,00
2020-05-03;24,00;0,00;7,58;30,32;0,00;8,00;8,00;16,00;8,00
