Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;91,00;25,00;28,00;10,00;1,00;27,00;3,00;41,00;5,00
2019-01-13;91,00;21,00;24,00;7,00;2,00;18,00;1,00;41,00;7,00
2019-01-20;100,00;17,00;17,00;9,00;2,00;26,00;1,00;40,00;8,00
2019-01-27;89,00;16,00;19,00;9,00;0,50;21,00;4,00;33,00;6,00
2019-02-03;87,00;14,00;17,00;8,00;2,00;15,00;2,00;33,00;5,00
2019-02-10;82,00;15,00;17,00;5,00;1,00;19,00;2,00;38,00;6,00
2019-02-17;82,00;15,00;16,00;8,00;2,00;22,00;2,00;38,00;9,00
2019-02-24;79,00;14,00;15,00;7,00;1,00;22,00;2,00;37,00;4,00
2019-03-03;97,00;15,00;12,00;10,00;1,00;23,00;2,00;34,00;5,00
2019-03-10;73,00;13,00;14,00;9,00;1,00;20,00;2,00;28,00;6,00
2019-03-17;71,00;14,00;13,00;10,00;1,00;18,00;5,00;35,00;4,00
2019-03-24;73,00;12,00;14,00;9,00;1,00;16,00;2,00;32,00;8,00
2019-03-31;68,00;10,00;10,00;9,00;1,00;20,00;2,00;31,00;7,00
2019-04-07;69,00;11,00;13,00;9,00;1,00;21,00;1,00;32,00;6,00
2019-04-14;59,00;10,00;10,00;8,00;0,50;18,00;2,00;26,00;5,00
2019-04-21;70,00;13,00;10,00;5,00;1,00;17,00;1,00;33,00;5,00
2019-04-28;64,00;11,00;9,00;8,00;2,00;14,00;1,00;30,00;5,00
2019-05-05;66,00;9,00;10,00;15,00;2,00;13,00;2,00;27,00;5,00
2019-05-12;70,00;11,00;8,00;10,00;1,00;11,00;1,00;32,00;9,00
2019-05-19;73,00;9,00;7,00;9,00;2,00;16,00;8,00;35,00;4,00
2019-05-26;89,00;11,00;13,00;8,00;1,00;16,00;2,00;32,00;6,00
2019-06-02;67,00;10,00;13,00;11,00;2,00;20,00;2,00;32,00;5,00
2019-06-09;70,00;9,00;14,00;9,00;1,00;17,00;2,00;32,00;4,00
2019-06-16;76,00;10,00;27,00;12,00;2,00;22,00;1,00;37,00;4,00
2019-06-23;70,00;13,00;65,00;11,00;1,00;19,00;2,00;35,00;6,00
2019-06-30;70,00;14,00;11,00;9,00;2,00;13,00;2,00;31,00;5,00
2019-07-07;68,00;13,00;8,00;7,00;1,00;14,00;1,00;36,00;3,00
2019-07-14;70,00;12,00;10,00;23,00;1,00;16,00;2,00;31,00;6,00
