Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;100,00;96,61;54,24;105,08;0,00;4,00;0,00;12,00;4,00
2019-01-13;23,00;75,57;37,79;83,79;0,00;16,00;8,00;16,00;8,00
2019-01-20;50,00;73,33;35,00;118,33;0,00;8,00;16,00;4,00;19,00
2019-01-27;19,00;74,27;38,00;86,36;0,00;4,00;19,00;27,00;4,00
2019-02-03;40,00;69,57;45,22;116,52;0,00;12,00;0,00;20,00;28,00
2019-02-10;36,00;61,71;20,57;135,43;0,00;12,00;12,00;24,00;12,00
2019-02-17;32,00;57,26;60,63;112,84;0,00;8,00;20,00;12,00;4,00
2019-02-24;24,00;89,14;63,43;109,71;0,00;8,00;12,00;12,00;8,00
2019-03-03;38,00;43,18;22,45;93,27;3,45;4,00;11,00;4,00;4,00
2019-03-10;31,00;31,00;62,00;82,67;0,00;8,00;4,00;35,00;23,00
2019-03-17;32,00;43,79;20,21;75,79;3,37;4,00;8,00;8,00;0,00
2019-03-24;24,00;44,57;12,00;65,14;3,43;12,00;4,00;20,00;8,00
2019-03-31;47,00;43,64;11,75;75,54;15,11;4,00;0,00;4,00;4,00
2019-04-07;19,00;81,18;22,45;81,18;0,00;4,00;26,00;7,00;0,00
2019-04-14;35,00;78,33;8,33;108,33;0,00;4,00;4,00;9,00;0,00
2019-04-21;43,00;59,54;33,08;89,31;0,00;4,00;13,00;4,00;9,00
2019-04-28;69,00;34,50;6,90;67,28;3,45;11,00;8,00;8,00;0,00
2019-05-05;19,00;19,00;24,18;86,36;0,00;0,00;8,00;0,00;11,00
2019-05-12;39,00;42,39;23,74;83,09;0,00;4,00;4,00;0,00;4,00
2019-05-19;27,00;30,38;18,56;82,69;0,00;8,00;0,00;12,00;4,00
2019-05-26;47,00;48,74;20,89;43,52;0,00;4,00;0,00;17,00;4,00
2019-06-02;28,00;45,50;24,50;77,00;0,00;8,00;12,00;4,00;0,00
2019-06-09;43,00;51,60;20,64;80,84;0,00;4,00;4,00;4,00;12,00
2019-06-16;36,00;37,71;41,14;70,29;8,57;0,00;0,00;8,00;0,00
2019-06-23;38,00;21,48;29,74;84,26;0,00;13,00;17,00;13,00;4,00
2019-06-30;37,00;48,77;20,18;94,18;0,00;4,00;12,00;4,00;0,00
2019-07-07;51,00;51,00;20,40;81,60;11,90;17,00;21,00;13,00;4,00
2019-07-14;27,00;59,06;35,44;54,00;0,00;5,00;9,00;18,00;18,00
2019-07-21;43,00;34,40;24,08;116,96;5,16;0,00;24,00;9,00;14,00
2019-07-28;39,00;78,00;33,91;123,78;0,00;0,00;5,00;15,00;5,00
2019-08-04;36,00;51,43;32,57;120,00;0,00;0,00;14,00;9,00;9,00
2019-08-11;66,00;37,23;25,38;142,15;0,00;8,00;17,00;8,00;8,00
2019-08-18;44,00;52,46;23,69;71,08;3,38;8,00;12,00;0,00;16,00
2019-08-25;44,00;79,54;27,08;125,23;3,38;0,00;8,00;4,00;0,00
2019-09-01;30,00;60,00;48,33;75,00;0,00;0,00;11,00;11,00;4,00
