Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;63,00;67,67;21,00;44,33;4,67;29,00;5,00;25,00;20,00
2019-01-13;43,00;67,89;18,11;27,16;0,00;56,00;7,00;30,00;14,00
2019-01-20;44,00;57,89;25,47;32,42;0,00;34,00;2,00;32,00;11,00
2019-01-27;51,00;46,36;13,91;34,77;0,00;24,00;2,00;28,00;7,00
2019-02-03;53,00;53,00;13,83;27,65;4,61;22,00;7,00;23,00;8,00
2019-02-10;49,00;77,00;16,33;23,33;2,33;13,00;4,00;23,00;14,00
2019-02-17;37,00;34,69;18,50;37,00;2,31;14,00;5,00;24,00;16,00
2019-02-24;51,00;60,27;18,55;20,86;0,00;17,00;11,00;17,00;15,00
2019-03-03;33,00;30,64;11,79;33,00;0,00;16,00;12,00;14,00;12,00
2019-03-10;29,00;31,42;14,50;26,58;2,42;11,00;2,00;27,00;16,00
2019-03-17;45,00;28,42;11,84;40,26;0,00;12,00;11,00;15,00;14,00
2019-03-24;36,00;40,80;19,20;31,20;0,00;16,00;6,00;25,00;16,00
2019-03-31;33,00;23,57;21,21;28,29;2,36;15,00;5,00;12,00;10,00
2019-04-07;37,00;30,06;11,56;23,13;0,00;11,00;7,00;20,00;6,00
2019-04-14;46,00;32,20;16,10;20,70;2,30;12,00;5,00;18,00;14,00
2019-04-21;46,00;20,70;9,20;27,60;2,30;16,00;4,00;20,00;9,00
2019-04-28;60,00;13,85;18,46;27,69;2,31;7,00;2,00;18,00;16,00
2019-05-05;87,00;18,32;9,16;41,21;4,58;13,00;2,00;8,00;12,00
2019-05-12;56,00;30,33;7,00;21,00;2,33;10,00;7,00;7,00;12,00
2019-05-19;49,00;21,00;9,33;23,33;2,33;15,00;5,00;12,00;12,00
2019-05-26;69,00;23,00;4,60;32,20;2,30;16,00;1,00;12,00;11,00
2019-06-02;37,00;27,75;20,81;37,00;2,31;15,00;5,00;10,00;6,00
2019-06-09;35,00;28,00;14,00;42,00;4,67;10,00;1,00;19,00;7,00
2019-06-16;30,00;25,38;23,08;30,00;4,62;11,00;7,00;22,00;7,00
2019-06-23;39,00;29,82;11,47;34,41;2,29;7,00;5,00;14,00;10,00
2019-06-30;36,00;22,50;11,25;22,50;2,25;7,00;0,00;13,00;11,00
2019-07-07;55,00;22,92;16,04;27,50;0,00;12,00;5,00;17,00;7,00
2019-07-14;28,00;23,33;21,00;23,33;2,33;17,00;4,00;22,00;10,00
2019-07-21;46,00;20,70;20,70;27,60;2,30;11,00;4,00;16,00;19,00
2019-07-28;47,00;28,20;11,75;30,55;0,00;14,00;7,00;17,00;14,00
2019-08-04;48,00;25,14;9,14;98,29;2,29;4,00;2,00;17,00;11,00
2019-08-11;65,00;25,54;6,96;30,18;2,32;17,00;1,00;19,00;19,00
2019-08-18;50,00;28,57;9,52;40,48;9,52;22,00;9,00;12,00;10,00
2019-08-25;73,00;31,94;20,53;25,09;0,00;7,00;1,00;12,00;8,00
2019-09-01;39,00;41,29;22,94;34,41;6,88;14,00;5,00;19,00;13,00
2019-09-08;49,00;30,33;21,00;39,67;2,33;11,00;6,00;12,00;14,00
2019-09-15;42,00;35,00;21,00;37,33;4,67;17,00;4,00;16,00;13,00
2019-09-22;35,00;25,67;18,67;32,67;1,17;23,00;7,00;11,00;13,00
2019-09-29;64,00;34,29;16,00;43,43;2,29;15,00;9,00;16,00;14,00
2019-10-06;64,00;27,43;18,29;29,71;4,57;19,00;12,00;31,00;15,00
2019-10-13;33,00;33,00;21,21;21,21;4,71;12,00;10,00;19,00;7,00
2019-10-20;57,00;27,36;25,08;27,36;1,14;19,00;13,00;20,00;18,00
