Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;44,00;630,67;14,67;14,67;14,67;20,00;16,00;26,00;10,00;8,00;6,00;6,00;1,00
2019-01-13;42,00;560,00;14,00;14,00;14,00;22,00;22,00;35,00;6,00;10,00;4,00;3,00;1,00
2019-01-20;43,00;530,33;14,33;14,33;14,33;20,00;11,00;34,00;5,00;8,00;14,00;3,00;1,00
2019-01-27;15,00;555,00;15,00;15,00;15,00;14,00;17,00;6,00;8,00;9,00;7,00;7,00;1,00
2019-02-03;22,00;902,00;22,00;22,00;22,00;19,00;12,00;1,00;4,00;13,00;4,00;4,00;3,00
2019-02-10;22,00;836,00;22,00;22,00;22,00;19,00;15,00;3,00;6,00;7,00;7,00;10,00;0,00
2019-02-17;27,00;499,50;13,50;13,50;40,50;24,00;16,00;4,00;16,00;10,00;3,00;3,00;3,00
2019-02-24;35,00;752,50;17,50;8,75;17,50;26,00;23,00;9,00;11,00;7,00;4,00;4,00;1,00
2019-03-03;29,00;609,00;14,50;14,50;14,50;20,00;19,00;6,00;13,00;4,00;10,00;3,00;0,00
2019-03-10;31,00;635,50;15,50;15,50;46,50;27,00;10,00;9,00;12,00;12,00;6,00;7,00;1,00
2019-03-17;18,00;630,00;9,00;9,00;9,00;18,00;20,00;4,00;8,00;10,00;4,00;4,00;8,00
2019-03-24;26,00;520,00;6,50;13,00;6,50;29,00;19,00;1,00;11,00;6,00;1,00;3,00;3,00
2019-03-31;41,00;560,33;13,67;13,67;13,67;15,00;16,00;15,00;6,00;9,00;12,00;6,00;4,00
2019-04-07;64,00;704,00;16,00;8,00;16,00;41,00;17,00;20,00;6,00;6,00;7,00;10,00;3,00
2019-04-14;41,00;1366,67;27,33;27,33;13,67;17,00;18,00;35,00;7,00;9,00;6,00;7,00;4,00
2019-04-21;54,00;864,00;18,00;18,00;18,00;29,00;18,00;38,00;7,00;10,00;7,00;10,00;9,00
2019-04-28;54,00;954,00;18,00;18,00;36,00;18,00;17,00;24,00;12,00;5,00;11,00;8,00;3,00
2019-05-05;52,00;641,33;17,33;17,33;17,33;17,00;18,00;49,00;15,00;10,00;4,00;3,00;6,00
2019-05-12;56,00;560,00;14,00;14,00;14,00;29,00;20,00;17,00;10,00;7,00;3,00;8,00;1,00
2019-05-19;52,00;728,00;17,33;17,33;34,67;20,00;27,00;18,00;7,00;14,00;5,00;4,00;6,00
2019-05-26;47,00;689,33;31,33;31,33;15,67;26,00;27,00;36,00;11,00;17,00;8,00;8,00;6,00
2019-06-02;54,00;828,00;18,00;18,00;18,00;17,00;38,00;26,00;12,00;8,00;8,00;5,00;4,00
2019-06-09;62,00;604,50;15,50;15,50;15,50;26,00;26,00;49,00;12,00;17,00;7,00;8,00;1,00
2019-06-16;60,00;600,00;15,00;15,00;15,00;36,00;29,00;40,00;14,00;9,00;11,00;4,00;5,00
2019-06-23;56,00;546,00;14,00;14,00;42,00;17,00;17,00;31,00;22,00;14,00;7,00;7,00;10,00
2019-06-30;71,00;624,80;28,40;28,40;99,40;26,00;23,00;43,00;14,00;12,00;15,00;15,00;8,00
2019-07-07;74,00;740,00;14,80;29,60;29,60;36,00;28,00;42,00;18,00;18,00;5,00;10,00;10,00
2019-07-14;82,00;902,00;16,40;32,80;32,80;34,00;31,00;36,00;19,00;27,00;7,00;9,00;9,00
2019-07-21;63,00;850,50;47,25;15,75;47,25;47,00;53,00;39,00;14,00;19,00;14,00;5,00;5,00
2019-07-28;72,00;936,00;14,40;28,80;28,80;20,00;33,00;55,00;21,00;18,00;6,00;15,00;14,00
2019-08-04;63,00;897,75;31,50;47,25;31,50;34,00;39,00;47,00;17,00;26,00;8,00;8,00;9,00
2019-08-11;56,00;700,00;28,00;28,00;28,00;28,00;29,00;32,00;11,00;16,00;4,00;6,00;3,00
2019-08-18;73,00;598,60;14,60;29,20;14,60;32,00;17,00;48,00;12,00;15,00;3,00;4,00;1,00
2019-08-25;65,00;601,25;32,50;16,25;16,25;22,00;16,00;40,00;11,00;16,00;4,00;1,00;1,00
2019-09-01;53,00;671,33;17,67;17,67;35,33;25,00;15,00;33,00;9,00;13,00;5,00;3,00;5,00
2019-09-08;56,00;616,00;14,00;14,00;14,00;22,00;21,00;32,00;15,00;8,00;10,00;10,00;3,00
2019-09-15;47,00;689,33;15,67;15,67;31,33;18,00;13,00;33,00;7,00;9,00;7,00;1,00;3,00
2019-09-22;46,00;628,67;30,67;7,67;15,33;22,00;16,00;26,00;4,00;3,00;3,00;4,00;0,00
2019-09-29;46,00;674,67;15,33;15,33;30,67;22,00;9,00;26,00;18,00;12,00;8,00;1,00;3,00
2019-10-06;41,00;669,67;13,67;13,67;13,67;15,00;14,00;31,00;9,00;7,00;5,00;4,00;3,00
2019-10-13;33,00;825,00;16,50;16,50;16,50;22,00;19,00;42,00;7,00;11,00;7,00;3,00;3,00
2019-10-20;26,00;624,00;13,00;13,00;13,00;18,00;19,00;25,00;8,00;9,00;4,00;3,00;1,00
2019-10-27;26,00;455,00;13,00;13,00;26,00;20,00;11,00;20,00;5,00;3,00;4,00;1,00;1,00
2019-11-03;19,00;722,00;19,00;19,00;19,00;19,00;12,00;11,00;8,00;8,00;3,00;1,00;1,00
2019-11-10;20,00;780,00;40,00;20,00;20,00;18,00;15,00;19,00;1,00;5,00;1,00;3,00;3,00
2019-11-17;31,00;558,00;15,50;15,50;15,50;16,00;10,00;30,00;9,00;8,00;3,00;4,00;0,00
2019-11-24;24,00;456,00;24,00;12,00;12,00;9,00;10,00;14,00;6,00;10,00;3,00;0,00;1,00
2019-12-01;20,00;740,00;20,00;20,00;20,00;23,00;7,00;12,00;5,00;0,00;3,00;3,00;4,00
2019-12-08;19,00;627,00;19,00;38,00;19,00;15,00;14,00;17,00;1,00;9,00;5,00;4,00;0,00
2019-12-15;47,00;595,33;15,67;15,67;15,67;19,00;11,00;11,00;5,00;7,00;4,00;3,00;0,00
2019-12-22;38,00;893,00;19,00;19,00;19,00;18,00;21,00;24,00;3,00;10,00;3,00;0,00;1,00
2019-12-29;25,00;562,50;12,50;12,50;12,50;19,00;13,00;24,00;11,00;5,00;3,00;3,00;3,00
2020-01-05;41,00;560,33;13,67;13,67;13,67;16,00;16,00;20,00;9,00;8,00;6,00;4,00;1,00
2020-01-12;43,00;630,67;14,33;14,33;14,33;31,00;20,00;29,00;9,00;10,00;5,00;4,00;7,00
2020-01-19;41,00;587,67;13,67;13,67;13,67;18,00;11,00;34,00;10,00;12,00;8,00;4,00;1,00
2020-01-26;41,00;533,00;13,67;13,67;13,67;17,00;18,00;39,00;11,00;5,00;6,00;5,00;4,00
2020-02-02;52,00;658,67;17,33;17,33;17,33;18,00;13,00;29,00;15,00;11,00;5,00;5,00;3,00
