Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;29,00;56,00;27,00;11,00;5,00;83,38;29,00;47,13;7,25
2019-01-13;28,00;59,00;23,00;10,00;7,00;108,00;32,00;48,00;12,00
2019-01-20;31,00;53,00;21,00;9,00;6,00;96,88;34,88;50,38;11,63
2019-01-27;34,00;53,00;34,00;12,00;7,00;83,11;26,44;45,33;11,33
2019-02-03;41,00;40,00;32,00;10,00;9,00;74,55;29,82;48,45;11,18
2019-02-10;43,00;40,00;26,00;9,00;6,00;97,73;39,09;43,00;11,73
2019-02-17;44,00;62,00;27,00;11,00;8,00;104,00;36,00;56,00;12,00
2019-02-24;47,00;46,00;30,00;8,00;6,00;105,75;31,33;54,83;11,75
2019-03-03;39,00;50,00;21,00;10,00;6,00;101,40;39,00;46,80;11,70
2019-03-10;40,00;48,00;23,00;9,00;6,00;112,00;28,00;48,00;12,00
2019-03-17;40,00;47,00;22,00;9,00;8,00;120,00;32,00;52,00;12,00
2019-03-24;39,00;35,00;29,00;10,00;8,00;113,10;39,00;46,80;11,70
2019-03-31;40,00;48,00;25,00;12,00;7,00;132,00;52,00;48,00;12,00
2019-04-07;41,00;52,00;35,00;12,00;6,00;151,70;41,00;61,50;12,30
2019-04-14;38,00;46,00;39,00;10,00;8,00;125,40;38,00;57,00;11,40
2019-04-21;41,00;55,00;23,00;9,00;10,00;156,55;41,00;52,18;11,18
2019-04-28;40,00;51,00;35,00;11,00;9,00;148,00;48,00;56,00;12,00
2019-05-05;38,00;45,00;23,00;10,00;6,00;133,00;38,00;57,00;11,40
2019-05-12;34,00;50,00;34,00;6,00;6,00;128,44;45,33;52,89;11,33
2019-05-19;39,00;67,00;28,00;10,00;9,00;136,50;35,10;58,50;11,70
2019-05-26;44,00;51,00;36,00;12,00;7,00;132,00;56,00;64,00;12,00
2019-06-02;46,00;57,00;36,00;12,00;10,00;176,33;46,00;61,33;11,50
2019-06-09;37,00;80,00;40,00;13,00;8,00;205,56;49,33;61,67;12,33
2019-06-16;44,00;69,00;43,00;12,00;8,00;204,00;52,00;60,00;16,00
2019-06-23;45,00;66,00;27,00;8,00;11,00;221,25;48,75;60,00;15,00
2019-06-30;49,00;81,00;26,00;13,00;8,00;249,08;61,25;69,42;16,33
2019-07-07;52,00;88,00;38,00;12,00;9,00;236,00;64,00;68,00;16,00
2019-07-14;60,00;90,00;50,00;13,00;11,00;236,00;60,00;72,00;12,00
2019-07-21;49,00;84,00;54,00;13,00;10,00;248,77;67,85;64,08;15,08
2019-07-28;59,00;66,00;51,00;14,00;11,00;287,13;55,07;70,80;15,73
2019-08-04;61,00;74,00;48,00;15,00;12,00;308,81;83,88;64,81;11,44
2019-08-11;70,00;61,00;40,00;12,00;13,00;342,22;50,56;66,11;15,56
2019-08-18;54,00;77,00;25,00;13,00;8,00;258,43;65,57;77,14;11,57
2019-08-25;50,00;58,00;34,00;10,00;10,00;188,46;38,46;61,54;11,54
2019-09-01;39,00;50,00;26,00;11,00;9,00;148,20;39,00;58,50;11,70
2019-09-08;40,00;68,00;33,00;11,00;8,00;148,00;48,00;60,00;12,00
2019-09-15;36,00;40,00;26,00;11,00;8,00;144,00;44,00;64,00;16,00
2019-09-22;32,00;27,00;17,00;10,00;6,00;136,00;40,00;56,00;12,00
2019-09-29;26,00;48,00;33,00;9,00;7,00;122,57;26,00;52,00;14,86
