Disney;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;66,00;15,00;16,00;36,00;54,00;17,61;45,78;52,83;1,17
2019-01-13;59,00;15,00;13,00;28,00;52,00;18,14;44,74;45,95;1,21
2019-01-20;57,00;12,00;15,00;28,00;42,00;13,67;30,28;29,30;0,98
2019-01-27;47,00;4,00;10,00;27,00;32,00;13,04;32,00;32,00;1,19
2019-02-03;43,00;12,00;9,00;23,00;34,00;12,47;32,87;34,00;1,13
2019-02-10;39,00;16,00;11,00;28,00;38,00;9,50;32,72;31,67;1,06
2019-02-17;41,00;10,00;10,00;31,00;38,00;11,94;27,14;29,31;1,09
2019-02-24;47,00;13,00;12,00;22,00;34,00;10,00;28,00;28,00;1,00
2019-03-03;54,00;20,00;9,00;30,00;33,00;5,66;27,34;29,23;0,94
2019-03-10;37,00;10,00;11,00;28,00;37,00;13,36;30,83;30,83;1,03
2019-03-17;59,00;18,00;9,00;39,00;50,00;17,05;39,77;62,50;1,14
2019-03-24;42,00;10,00;13,00;33,00;46,00;13,91;24,60;39,58;2,14
2019-03-31;59,00;9,00;14,00;34,00;46,00;13,29;42,93;29,64;1,02
2019-04-07;66,00;24,00;15,00;26,00;51,00;15,00;30,00;31,00;1,00
2019-04-14;52,00;26,00;20,00;28,00;53,00;14,27;31,60;24,46;1,02
2019-04-21;38,00;23,00;16,00;33,00;56,00;17,23;35,54;26,92;1,08
2019-04-28;46,00;15,00;17,00;26,00;51,00;13,53;38,51;24,98;1,04
2019-05-05;55,00;17,00;14,00;27,00;42,00;10,00;22,00;26,00;2,00
2019-05-12;35,00;17,00;15,00;28,00;44,00;12,57;31,43;33,94;2,51
2019-05-19;43,00;12,00;19,00;24,00;44,00;13,20;36,30;34,10;1,10
2019-05-26;53,00;21,00;16,00;25,00;52,00;14,51;35,07;37,49;1,21
2019-06-02;43,00;24,00;14,00;25,00;40,00;10,91;24,55;23,64;0,91
2019-06-09;61,00;17,00;18,00;26,00;48,00;12,52;24,00;26,09;1,04
2019-06-16;44,00;15,00;19,00;29,00;45,00;13,30;25,57;27,61;1,02
2019-06-23;39,00;7,00;11,00;28,00;46,00;13,32;21,79;32,68;1,21
2019-06-30;48,00;8,00;15,00;27,00;47,00;9,94;24,40;27,12;0,90
2019-07-07;64,00;26,00;17,00;34,00;45,00;13,13;38,44;27,19;0,94
2019-07-14;78,00;17,00;18,00;33,00;69,00;15,09;39,89;31,27;1,08
2019-07-21;58,00;21,00;18,00;32,00;57,00;14,51;38,35;33,16;1,04
2019-07-28;78,00;15,00;18,00;33,00;62,00;13,53;41,71;38,33;1,13
2019-08-04;60,00;15,00;19,00;33,00;62,00;13,56;38,75;32,94;0,97
2019-08-11;56,00;12,00;13,00;32,00;70,00;16,72;34,48;31,34;1,04
2019-08-18;55,00;12,00;16,00;29,00;61,00;21,40;27,82;35,32;1,07
2019-08-25;45,00;12,00;15,00;35,00;56,00;20,46;35,54;32,31;1,08
2019-09-01;59,00;15,00;14,00;29,00;46,00;12,55;31,36;29,27;2,09
2019-09-08;68,00;20,00;16,00;23,00;54,00;14,09;52,83;45,78;1,17
2019-09-15;52,00;6,00;19,00;22,00;54,00;12,76;36,33;33,38;0,98
2019-09-22;93,00;26,00;16,00;24,00;60,00;16,67;51,11;38,89;2,22
2019-09-29;83,00;22,00;15,00;27,00;61,00;17,75;39,93;37,71;1,11
2019-10-06;61,00;14,00;17,00;26,00;64,00;13,47;51,65;32,56;1,12
2019-10-13;60,00;19,00;14,00;21,00;59,00;14,52;36,31;28,14;0,91
2019-10-20;61,00;15,00;12,00;17,00;68,00;17,25;33,49;32,48;1,01
2019-10-27;47,00;13,00;14,00;18,00;64,00;16,00;19,00;25,00;1,00
2019-11-03;64,00;15,00;13,00;27,00;52,00;13,24;30,25;26,47;0,95
2019-11-10;68,00;22,00;12,00;24,00;60,00;15,79;28,42;27,37;1,05
2019-11-17;67,00;16,00;14,00;36,00;57,00;16,55;24,82;22,06;0,92
2019-11-24;56,00;6,00;11,00;28,00;56,00;13,24;26,47;20,36;1,02
2019-12-01;38,00;9,00;12,00;18,00;55,00;14,73;21,61;18,66;1,96
2019-12-08;47,00;11,00;10,00;18,00;55,00;15,40;33,00;22,00;1,10
2019-12-15;50,00;13,00;12,00;18,00;49,00;8,65;21,14;17,29;0,96
2019-12-22;72,00;11,00;20,00;20,00;81,00;15,32;47,07;38,31;2,19
2019-12-29;97,00;17,00;18,00;27,00;73,00;18,74;41,43;46,36;1,97
2020-01-05;49,00;14,00;22,00;28,00;55,00;18,33;43,14;48,53;2,16
2020-01-12;66,00;14,00;22,00;29,00;52,00;18,35;29,57;45,88;2,04
2020-01-19;79,00;13,00;16,00;27,00;47,00;24,05;41,53;40,44;2,19
2020-01-26;61,00;13,00;15,00;23,00;45,00;18,00;34,00;32,00;2,00
2020-02-02;40,00;9,00;12,00;31,00;51,00;11,00;31,00;32,00;2,00
2020-02-09;44,00;11,00;14,00;30,00;54,00;14,40;31,20;40,80;2,40
2020-02-16;59,00;16,00;10,00;31,00;65,00;12,79;30,90;41,56;2,13
2020-02-23;73,00;9,00;12,00;28,00;71,00;7,38;30,43;29,51;0,92
2020-03-01;50,00;14,00;14,00;28,00;63,00;7,75;34,89;33,92;1,94
2020-03-08;100,00;17,00;23,00;38,00;94,00;7,52;47,94;49,82;1,88
2020-03-15;15,00;1,00;5,00;8,00;10,00;3,33;7,50;9,17;0,83
2020-03-22;19,00;6,00;4,00;8,00;9,00;4,09;6,55;6,55;0,82
2020-03-29;10,00;2,00;5,00;8,00;14,00;5,83;17,50;12,83;1,17
2020-04-05;10,00;3,00;5,00;11,00;12,00;4,00;8,00;10,00;1,00
2020-04-12;16,00;4,00;7,00;7,00;21,00;6,30;6,30;12,60;1,05
2020-04-19;18,00;4,00;5,00;8,00;16,00;3,20;4,80;8,00;0,80
2020-04-26;11,00;0,00;5,00;8,00;17,00;5,31;12,75;11,69;1,06
2020-05-03;14,00;7,00;5,00;4,00;15,00;3,00;10,00;11,00;1,00
2020-05-10;14,00;5,00;7,00;8,00;16,00;5,33;14,67;17,33;1,33
2020-05-17;18,00;2,00;5,00;6,00;17,00;6,80;13,60;10,20;1,13
2020-05-24;15,00;1,00;6,00;8,00;18,00;3,60;9,00;9,00;0,90
2020-05-31;23,00;4,00;8,00;8,00;17,00;3,78;16,06;10,39;0,94
2020-06-07;18,00;1,00;8,00;7,00;19,00;6,33;17,94;13,72;1,06
2020-06-14;26,00;7,00;8,00;5,00;25,00;5,21;13,54;11,46;1,04
2020-06-21;30,00;8,00;9,00;9,00;31,00;5,74;18,37;17,22;1,15
2020-06-28;21,00;7,00;8,00;10,00;27,00;4,35;19,16;13,94;0,87
2020-07-05;25,00;6,00;10,00;9,00;30,00;4,69;20,63;12,19;0,94
2020-07-12;50,00;7,00;12,00;12,00;44,00;7,90;33,85;20,31;1,13
2020-07-19;31,00;7,00;12,00;10,00;33,00;6,00;24,00;18,00;1,00
2020-07-26;30,00;10,00;11,00;8,00;38,00;4,11;17,46;14,38;1,03
2020-08-02;20,00;3,00;8,00;11,00;41,00;3,08;17,43;13,33;1,03
2020-08-09;32,00;9,00;8,00;9,00;38,00;3,90;20,46;12,67;0,97
2020-08-16;35,00;3,00;8,00;9,00;36,00;4,00;16,00;11,00;1,00
2020-08-23;34,00;4,00;8,00;10,00;35,00;5,47;16,41;12,03;1,09
2020-08-30;33,00;2,00;4,00;7,00;30,00;4,41;7,94;11,47;0,88
2020-09-06;40,00;11,00;7,00;8,00;28,00;3,39;10,18;5,94;0,85
2020-09-13;25,00;3,00;5,00;10,00;33,00;5,32;13,84;8,52;1,06
2020-09-20;30,00;3,00;4,00;6,00;38,00;3,80;9,50;5,70;0,95
2020-09-27;23,00;4,00;4,00;8,00;40,00;3,43;9,14;9,14;1,14
2020-10-04;31,00;3,00;4,00;10,00;46,00;3,00;5,00;6,00;1,00
2020-10-11;20,00;2,00;3,00;9,00;47,00;3,13;6,27;8,36;1,04
2020-10-18;21,00;3,00;3,00;5,00;50,00;1,85;5,56;6,48;0,93
2020-10-25;18,00;7,00;4,00;7,00;39,00;0,98;9,75;5,85;0,98
2020-11-01;7,00;3,00;2,00;4,00;38,00;0,97;5,85;3,90;0,97
