Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;66,00;12,00;16,00;29,00;51,00;15,69;41,19;43,15;0,98
2019-01-13;69,00;15,00;15,00;27,00;48,00;17,28;39,36;32,64;0,96
2019-01-20;57,00;13,00;14,00;25,00;38,00;18,05;29,45;29,45;0,95
2019-01-27;33,00;10,00;12,00;31,00;31,00;12,59;31,00;27,13;0,97
2019-02-03;39,00;9,00;10,00;25,00;31,00;7,75;25,19;31,00;0,97
2019-02-10;46,00;11,00;9,00;28,00;36,00;7,78;26,27;32,11;0,97
2019-02-17;44,00;10,00;12,00;32,00;41,00;10,49;29,56;31,47;0,95
2019-02-24;47,00;10,00;11,00;25,00;35,00;9,46;25,54;24,59;0,95
2019-03-03;66,00;16,00;9,00;29,00;31,00;10,33;31,00;31,00;0,94
2019-03-10;53,00;12,00;12,00;22,00;37,00;16,55;36,03;31,16;1,95
2019-03-17;57,00;12,00;12,00;37,00;47,00;18,22;32,61;52,76;0,96
2019-03-24;56,00;9,00;13,00;31,00;44,00;14,67;29,33;38,13;0,98
2019-03-31;52,00;15,00;14,00;29,00;46,00;9,58;41,21;30,67;0,96
2019-04-07;64,00;17,00;17,00;26,00;50,00;12,75;32,35;29,41;0,98
2019-04-14;60,00;34,00;16,00;32,00;53,00;13,49;38,55;27,95;0,96
2019-04-21;38,00;24,00;17,00;27,00;52,00;14,44;32,74;24,07;0,96
2019-04-28;44,00;12,00;15,00;28,00;49,00;11,76;33,32;25,48;0,98
2019-05-05;48,00;10,00;15,00;25,00;39,00;11,70;28,28;25,35;1,95
2019-05-12;41,00;13,00;17,00;27,00;39,00;9,51;24,73;27,59;1,90
2019-05-19;34,00;12,00;18,00;28,00;40,00;12,38;28,57;30,48;0,95
2019-05-26;46,00;18,00;15,00;24,00;47,00;8,81;35,25;33,29;0,98
2019-06-02;39,00;20,00;14,00;30,00;45,00;10,53;28,72;33,51;0,96
2019-06-09;53,00;19,00;16,00;31,00;46,00;10,54;27,79;26,83;0,96
