Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;27,00;36,00;54,00;42,00;53,00;47,25;37,13;54,00;22,50
2019-01-13;28,00;40,00;57,00;42,00;54,00;49,28;34,72;52,64;23,52
2019-01-20;28,00;37,00;58,00;38,00;56,00;45,92;33,60;49,28;23,52
2019-01-27;30,00;36,00;57,00;41,00;59,00;46,67;33,33;45,56;21,11
2019-02-03;33,00;37,00;58,00;39,00;63,00;44,00;36,30;48,40;23,10
2019-02-10;32,00;38,00;55,00;38,00;65,00;48,00;34,29;50,29;25,14
2019-02-17;32,00;36,00;57,00;36,00;66,00;48,55;33,10;47,45;24,28
2019-02-24;34,00;37,00;60,00;34,00;67,00;53,27;35,13;47,60;23,80
2019-03-03;32,00;35,00;53,00;36,00;60,00;47,45;32,00;47,45;26,48
2019-03-10;30,00;36,00;58,00;37,00;65,00;47,78;32,22;43,33;26,67
2019-03-17;31,00;31,00;56,00;37,00;63,00;52,04;27,68;46,50;24,36
2019-03-24;31,00;35,00;54,00;35,00;66,00;53,14;32,11;44,29;25,46
2019-03-31;32,00;32,00;52,00;33,00;62,00;51,86;30,90;44,14;25,38
2019-04-07;31,00;37,00;56,00;37,00;66,00;55,36;33,21;49,82;24,36
2019-04-14;31,00;34,00;61,00;34,00;64,00;52,04;31,00;45,39;23,25
2019-04-21;29,00;33,00;53,00;33,00;60,00;59,12;30,12;44,62;23,42
2019-04-28;30,00;33,00;56,00;35,00;61,00;51,11;36,67;47,78;24,44
2019-05-05;27,00;30,00;50,00;36,00;66,00;55,13;31,50;49,50;24,75
2019-05-12;28,00;36,00;52,00;36,00;64,00;49,28;31,36;48,16;26,88
2019-05-19;29,00;34,00;52,00;38,00;67,00;51,31;31,23;52,42;29,00
2019-05-26;30,00;34,00;57,00;35,00;71,00;53,33;33,33;52,22;30,00
2019-06-02;31,00;33,00;54,00;38,00;77,00;69,75;31,00;49,82;27,68
2019-06-09;30,00;37,00;55,00;40,00;76,00;76,67;33,33;50,00;28,89
2019-06-16;31,00;39,00;63,00;39,00;83,00;80,82;35,43;50,93;31,00
2019-06-23;31,00;33,00;59,00;40,00;83,00;84,14;32,11;52,04;31,00
2019-06-30;32,00;42,00;63,00;40,00;93,00;87,17;37,52;51,86;32,00
2019-07-07;34,00;43,00;68,00;43,00;94,00;82,26;38,39;52,65;31,81
2019-07-14;35,00;48,00;67,00;43,00;93,00;84,68;41,77;55,32;31,61
2019-07-21;36,00;49,00;70,00;43,00;94,00;88,36;41,45;51,27;30,55
2019-07-28;39,00;47,00;69,00;42,00;100,00;90,26;44,57;53,49;31,20
2019-08-04;42,00;44,00;64,00;43,00;100,00;99,89;42,00;53,35;29,51
2019-08-11;42,00;42,00;63,00;42,00;98,00;99,47;40,89;54,16;28,74
2019-08-18;36,00;40,00;55,00;43,00;92,00;87,75;38,25;54,00;27,00
2019-08-25;32,00;35,00;59,00;41,00;78,00;68,57;33,14;51,43;26,29
2019-09-01;31,00;33,00;56,00;39,00;74,00;57,57;35,43;56,46;26,57
2019-09-08;30,00;37,00;58,00;40,00;61,00;56,67;33,33;61,11;25,56
2019-09-15;30,00;34,00;58,00;38,00;61,00;50,00;34,44;60,00;25,56
2019-09-22;28,00;32,00;55,00;39,00;61,00;42,56;33,60;58,24;26,88
2019-09-29;28,00;29,00;57,00;38,00;63,00;42,56;31,36;54,88;28,00
2019-10-06;28,00;32,00;55,00;36,00;61,00;43,68;35,84;59,36;24,64
2019-10-13;26,00;31,00;51,00;35,00;62,00;41,83;31,65;53,13;23,74
2019-10-20;28,00;33,00;47,00;33,00;56,00;41,44;32,48;50,40;23,52
2019-10-27;25,00;33,00;46,00;32,00;54,00;40,91;30,68;46,59;21,59
2019-11-03;25,00;32,00;41,00;33,00;49,00;38,04;29,35;44,57;22,83
2019-11-10;25,00;31,00;46,00;31,00;49,00;40,22;25,00;41,30;21,74
2019-11-17;24,00;31,00;44,00;31,00;49,00;38,18;30,55;43,64;22,91
2019-11-24;23,00;29,00;43,00;28,00;50,00;39,10;27,60;42,55;25,30
2019-12-01;24,00;29,00;39,00;28,00;51,00;38,18;25,09;39,27;22,91
2019-12-08;23,00;28,00;44,00;29,00;44,00;37,24;26,29;40,52;24,10
2019-12-15;23,00;29,00;45,00;28,00;41,00;37,24;26,29;43,81;25,19
2019-12-22;28,00;35,00;59,00;37,00;45,00;48,16;32,48;53,76;32,48
2019-12-29;30,00;34,00;57,00;41,00;50,00;54,44;35,56;57,78;31,11
2020-01-05;28,00;38,00;61,00;39,00;52,00;44,80;36,96;60,48;32,48
2020-01-12;29,00;42,00;61,00;42,00;56,00;46,85;36,81;62,46;33,46
2020-01-19;29,00;37,00;60,00;40,00;52,00;44,62;35,69;59,12;33,46
2020-01-26;29,00;35,00;52,00;38,00;56,00;44,62;34,58;54,65;27,88
2020-02-02;30,00;37,00;56,00;35,00;60,00;41,11;34,44;53,33;30,00
2020-02-09;30,00;36,00;54,00;34,00;62,00;45,56;30,00;55,56;32,22
