Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;79,00;59,00;62,00;51,00;78,00;64,74;53,76;48,28;29,63
2019-01-13;78,00;53,00;42,00;54,00;71,00;69,21;49,44;45,04;28,56
2019-01-20;73,00;50,00;45,00;47,00;72,00;64,28;43,58;42,49;28,33
2019-01-27;62,00;42,00;50,00;41,00;74,00;63,09;38,07;41,33;26,11
2019-02-03;58,00;37,00;45,00;37,00;72,00;65,66;36,11;41,58;27,36
2019-02-10;59,00;36,00;46,00;37,00;74,00;66,65;38,24;42,61;27,31
2019-02-17;59,00;37,00;37,00;36,00;76,00;63,37;38,24;41,52;28,41
2019-02-24;71,00;43,00;53,00;34,00;76,00;65,54;34,95;38,23;29,49
2019-03-03;62,00;41,00;44,00;33,00;78,00;68,53;34,81;43,51;30,46
2019-03-10;59,00;42,00;48,00;35,00;69,00;68,83;30,59;41,52;28,41
2019-03-17;58,00;28,00;42,00;32,00;73,00;61,28;27,36;39,40;29,55
2019-03-24;66,00;26,00;38,00;32,00;72,00;68,16;25,97;36,79;27,05
2019-03-31;72,00;43,00;45,00;30,00;71,00;61,09;30,55;39,27;27,27
2019-04-07;73,00;52,00;53,00;32,00;79,00;57,75;25,06;44,67;27,24
2019-04-14;66,00;32,00;44,00;32,00;62,00;60,59;28,13;40,03;25,97
2019-04-21;72,00;38,00;46,00;33,00;59,00;62,18;32,73;41,45;26,18
2019-04-28;69,00;38,00;35,00;33,00;59,00;64,62;39,43;41,62;26,29
2019-05-05;64,00;38,00;50,00;32,00;67,00;59,59;35,31;43,03;27,59
2019-05-12;62,00;40,00;48,00;33,00;67,00;56,56;30,46;41,33;29,37
2019-05-19;64,00;38,00;45,00;30,00;74,00;56,28;30,90;43,03;28,69
2019-05-26;65,00;39,00;61,00;31,00;75,00;55,25;32,50;43,33;29,25
2019-06-02;63,00;41,00;41,00;34,00;77,00;64,11;37,58;44,21;33,16
2019-06-09;66,00;51,00;45,00;37,00;82,00;70,40;33,00;42,90;33,00
2019-06-16;72,00;33,00;49,00;32,00;84,00;72,00;32,73;43,64;32,73
2019-06-23;66,00;47,00;41,00;34,00;83,00;77,00;30,80;45,10;31,90
2019-06-30;72,00;43,00;48,00;42,00;93,00;76,36;33,82;48,00;30,55
2019-07-07;70,00;55,00;55,00;45,00;92,00;78,75;41,56;45,94;30,63
2019-07-14;75,00;46,00;53,00;45,00;92,00;77,17;42,39;45,65;30,43
2019-07-21;82,00;49,00;61,00;44,00;93,00;84,19;37,17;47,01;29,52
2019-07-28;94,00;45,00;60,00;40,00;96,00;87,44;44,81;48,09;29,51
2019-08-04;85,00;45,00;51,00;42,00;100,00;88,27;37,05;50,13;28,33
2019-08-11;80,00;52,00;47,00;43,00;84,00;81,10;39,45;48,22;28,49
2019-08-18;69,00;43,00;41,00;42,00;88,00;72,29;43,81;48,19;27,38
2019-08-25;63,00;33,00;52,00;36,00;75,00;66,32;35,37;44,21;25,42
2019-09-01;60,00;40,00;46,00;38,00;69,00;64,36;37,09;46,91;25,09
2019-09-08;58,00;39,00;43,00;33,00;64,00;60,15;29,00;45,11;23,63
2019-09-15;61,00;40,00;40,00;37,00;70,00;56,64;31,59;43,57;27,23
2019-09-22;70,00;51,00;51,00;67,00;70,00;57,97;35,00;45,94;25,16
2019-09-29;61,00;42,00;55,00;40,00;71,00;53,38;33,77;41,39;26,14
2019-10-06;57,00;37,00;45,00;36,00;74,00;51,52;39,46;43,85;25,21
2019-10-13;58,00;40,00;48,00;35,00;75,00;53,62;29,55;44,87;24,08
2019-10-20;67,00;44,00;41,00;34,00;62,00;54,92;31,85;39,54;24,16
2019-10-27;62,00;49,00;40,00;35,00;55,00;51,12;36,98;38,07;22,84
2019-11-03;58,00;40,00;48,00;35,00;61,00;52,53;29,55;35,02;25,17
2019-11-10;54,00;39,00;42,00;30,00;57,00;50,76;28,08;34,56;23,76
2019-11-17;55,00;46,00;44,00;34,00;62,00;51,70;33,00;36,30;26,40
2019-11-24;51,00;40,00;40,00;29,00;57,00;51,00;30,38;32,55;24,96
2019-12-01;48,00;40,00;35,00;30,00;60,00;49,09;29,45;31,64;28,36
2019-12-08;49,00;37,00;34,00;31,00;60,00;46,82;25,04;33,76;25,04
2019-12-15;51,00;38,00;45,00;31,00;48,00;45,57;27,13;39,06;27,13
2019-12-22;65,00;45,00;63,00;43,00;60,00;50,68;35,25;40,76;30,85
2019-12-29;72,00;54,00;53,00;45,00;66,00;66,55;38,18;50,18;32,73
2020-01-05;75,00;51,00;58,00;43,00;70,00;67,39;51,09;55,43;34,78
2020-01-12;76,00;53,00;63,00;48,00;75,00;66,09;49,57;50,67;35,25
2020-01-19;73,00;52,00;58,00;45,00;70,00;61,01;43,58;51,21;33,78
2020-01-26;79,00;45,00;48,00;41,00;75,00;59,25;43,89;49,38;30,72
2020-02-02;72,00;42,00;43,00;36,00;70,00;51,27;31,64;49,09;30,55
2020-02-09;70,00;57,00;50,00;34,00;79,00;53,59;33,91;54,69;30,63
2020-02-16;75,00;46,00;42,00;33,00;64,00;51,09;34,78;47,83;31,52
2020-02-23;68,00;57,00;41,00;34,00;66,00;52,65;41,68;69,10;39,48
2020-03-01;60,00;37,00;43,00;30,00;60,00;51,27;33,82;64,36;42,55
2020-03-08;65,00;61,00;52,00;48,00;66,00;24,92;47,67;108,33;66,08
2020-03-15;25,00;28,00;31,00;30,00;32,00;14,13;36,96;70,65;42,39
2020-03-22;21,00;18,00;16,00;15,00;22,00;14,37;17,68;24,32;19,89
2020-03-29;21,00;15,00;15,00;13,00;18,00;15,47;16,58;18,79;18,79
2020-04-05;21,00;17,00;14,00;19,00;24,00;15,47;13,26;21,00;15,47
2020-04-12;21,00;19,00;18,00;19,00;21,00;17,68;15,47;19,89;15,47
2020-04-19;19,00;22,00;19,00;19,00;21,00;22,35;16,76;21,24;16,76
2020-04-26;19,00;22,00;21,00;20,00;26,00;19,00;15,83;21,11;15,83
2020-05-03;19,00;19,00;24,00;20,00;32,00;17,88;20,12;20,12;21,24
2020-05-10;21,00;19,00;23,00;24,00;37,00;23,21;23,21;27,63;22,11
2020-05-17;22,00;19,00;34,00;27,00;36,00;25,14;19,90;27,24;23,05
