Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;89,00;55,38;89,00;15,82;17,80;32,00;39,00;29,00;18,00
2020-01-12;83,00;47,43;102,76;13,83;15,81;26,00;33,00;28,00;16,00
2020-01-19;89,00;43,51;104,82;15,82;17,80;26,00;33,00;30,00;17,00
2020-01-26;85,00;63,26;102,79;13,84;15,81;21,00;38,00;21,00;13,00
2020-02-02;79,00;45,43;86,90;15,80;21,73;24,00;36,00;23,00;13,00
2020-02-09;88,00;44,00;120,00;14,00;12,00;24,00;35,00;23,00;15,00
2020-02-16;84,00;58,00;128,00;16,00;14,00;24,00;37,00;24,00;14,00
2020-02-23;78,00;58,00;110,00;14,00;12,00;15,00;36,00;31,00;11,00
2020-03-01;53,00;54,96;76,56;11,78;9,81;18,00;30,00;19,00;10,00
2020-03-08;78,00;116,00;132,00;14,00;10,00;12,00;61,00;34,00;10,00
2020-03-15;29,00;23,20;7,73;3,87;1,93;3,00;7,00;10,00;6,00
2020-03-22;5,00;5,00;1,67;1,67;1,67;2,00;3,00;3,00;2,00
2020-03-29;3,00;1,50;6,00;1,50;1,50;2,00;3,00;3,00;2,00
2020-04-05;5,00;5,00;7,50;1,25;2,50;3,00;1,00;4,00;2,00
2020-04-12;4,00;2,00;2,00;1,00;2,00;1,00;5,00;3,00;2,00
2020-04-19;4,00;2,00;2,00;1,00;2,00;1,00;4,00;3,00;2,00
2020-04-26;5,00;1,67;3,33;1,67;0,83;2,00;4,00;3,00;2,00
2020-05-03;4,00;8,00;2,00;1,00;1,00;3,00;5,00;4,00;2,00
2020-05-10;3,00;3,00;6,00;3,00;1,50;1,00;4,00;3,00;2,00
2020-05-17;4,00;4,00;10,00;2,00;1,00;1,00;3,00;6,00;2,00
2020-05-24;4,00;8,00;8,00;1,00;2,00;3,00;4,00;4,00;2,00
2020-05-31;6,00;1,00;8,00;1,00;1,00;2,00;2,00;3,00;2,00
2020-06-07;4,00;4,00;10,00;2,00;1,00;4,00;2,00;4,00;3,00
2020-06-14;6,00;2,00;4,00;1,00;2,00;2,00;2,00;3,00;3,00
2020-06-21;6,00;8,00;6,00;2,00;1,00;3,00;3,00;4,00;2,00
2020-06-28;7,00;10,50;5,25;1,75;0,88;4,00;6,00;4,00;3,00
2020-07-05;9,00;3,60;3,60;1,80;1,80;3,00;4,00;4,00;3,00
2020-07-12;8,00;4,00;4,00;2,00;2,00;3,00;3,00;4,00;3,00
2020-07-19;10,00;4,00;8,00;2,00;2,00;4,00;7,00;5,00;2,00
2020-07-26;10,00;6,00;8,00;2,00;2,00;3,00;5,00;3,00;2,00
2020-08-02;9,00;2,25;11,25;2,25;4,50;5,00;4,00;4,00;3,00
2020-08-09;11,00;1,83;7,33;1,83;3,67;5,00;2,00;4,00;3,00
2020-08-16;16,00;14,00;14,00;1,00;2,00;5,00;8,00;5,00;3,00
2020-08-23;14,00;14,00;10,00;2,00;2,00;6,00;9,00;6,00;3,00
2020-08-30;13,00;17,33;10,83;2,17;2,17;3,00;10,00;5,00;4,00
2020-09-06;12,00;12,00;8,00;2,00;2,00;5,00;10,00;6,00;4,00
2020-09-13;15,00;5,63;15,00;1,88;3,75;5,00;8,00;4,00;4,00
2020-09-20;17,00;10,63;17,00;2,13;4,25;4,00;13,00;5,00;4,00
2020-09-27;23,00;21,08;13,42;3,83;1,92;4,00;6,00;5,00;4,00
2020-10-04;22,00;16,00;12,00;2,00;2,00;7,00;8,00;7,00;5,00
2020-10-11;24,00;10,00;20,00;2,00;4,00;6,00;11,00;4,00;5,00
2020-10-18;22,00;12,00;32,00;2,00;6,00;5,00;7,00;5,00;5,00
2020-10-25;12,00;6,00;26,00;4,00;2,00;5,00;7,00;5,00;7,00
2020-11-01;12,00;14,00;16,00;2,00;4,00;5,00;3,00;4,00;5,00
2020-11-08;15,00;12,86;15,00;2,14;4,29;4,00;7,00;6,00;8,00
2020-11-15;18,00;8,00;18,00;2,00;6,00;6,00;7,00;7,00;9,00
2020-11-22;58,00;32,00;56,00;4,00;4,00;5,00;11,00;8,00;9,00
2020-11-29;40,00;30,00;72,00;6,00;12,00;8,00;15,00;10,00;11,00
2020-12-06;35,00;22,65;94,71;6,18;12,35;9,00;10,00;9,00;12,00
