Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;26,00;12,00;7,00;5,00;9,00;8,00;8,00;1,00;1,00
2020-01-12;27,00;14,00;8,00;5,00;11,00;9,00;9,00;1,00;1,00
2020-01-19;27,00;14,00;7,00;4,00;13,00;8,00;7,00;1,00;1,00
2020-01-26;27,00;8,00;7,00;6,00;9,00;7,00;5,00;1,00;0,50
2020-02-02;28,00;10,00;7,00;6,00;12,00;5,00;8,00;0,50;1,00
2020-02-09;29,00;17,00;7,00;6,00;10,00;5,00;6,00;0,50;1,00
2020-02-16;29,00;14,00;5,00;5,00;10,00;6,00;7,00;1,00;1,00
2020-02-23;23,00;9,00;4,00;5,00;10,00;6,00;6,00;1,00;1,00
2020-03-01;21,00;9,00;3,00;4,00;6,00;5,00;5,00;0,50;0,50
2020-03-08;16,00;5,00;3,00;3,00;6,00;4,00;5,00;0,50;0,50
2020-03-15;5,00;5,00;1,00;2,00;2,00;2,00;2,00;0,50;0,50
2020-03-22;7,00;1,00;1,00;2,00;1,00;2,00;0,50;0,50;0,50
2020-03-29;7,00;4,00;2,00;2,00;1,00;2,00;1,00;0,50;0,50
2020-04-05;15,00;3,00;7,00;1,00;1,00;2,00;2,00;0,50;0,50
2020-04-12;6,00;4,00;3,00;1,00;1,00;2,00;1,00;0,50;0,50
2020-04-19;5,00;4,00;2,00;1,00;1,00;2,00;2,00;0,50;0,50
2020-04-26;6,00;1,00;1,00;2,00;2,00;2,00;2,00;0,50;0,50
2020-05-03;8,00;3,00;3,00;2,00;1,00;2,00;4,00;0,50;0,50
2020-05-10;9,00;2,00;6,00;3,00;2,00;3,00;2,00;0,50;0,50
2020-05-17;13,00;4,00;3,00;3,00;2,00;4,00;6,00;0,50;1,00
2020-05-24;16,00;4,00;7,00;2,00;4,00;5,00;3,00;1,00;0,50
2020-05-31;16,00;5,00;8,00;3,00;5,00;7,00;4,00;0,50;0,50
2020-06-07;16,00;7,00;4,00;5,00;3,00;9,00;6,00;1,00;0,50
2020-06-14;18,00;10,00;5,00;4,00;4,00;10,00;5,00;1,00;0,50
2020-06-21;19,00;7,00;7,00;4,00;8,00;12,00;7,00;1,00;0,50
2020-06-28;25,00;8,00;6,00;5,00;7,00;15,00;5,00;0,50;1,00
2020-07-05;24,00;12,00;7,00;4,00;6,00;12,00;5,00;0,50;0,50
2020-07-12;19,00;10,00;6,00;5,00;8,00;10,00;8,00;1,00;0,50
2020-07-19;18,00;11,00;6,00;5,00;6,00;12,00;6,00;0,50;0,50
2020-07-26;19,00;8,00;4,00;4,00;7,00;13,00;3,00;0,50;0,50
2020-08-02;22,00;8,00;8,00;4,00;9,00;9,00;4,00;1,00;0,50
2020-08-09;21,00;10,00;5,00;4,00;9,00;8,00;3,00;1,00;0,50
2020-08-16;22,00;9,00;11,00;4,00;7,00;10,00;4,00;0,50;0,50
2020-08-23;20,00;9,00;6,00;5,00;10,00;11,00;6,00;1,00;0,50
2020-08-30;20,00;11,00;7,00;5,00;10,00;9,00;6,00;1,00;1,00
2020-09-06;23,00;13,00;8,00;6,00;9,00;9,00;8,00;1,00;1,00
2020-09-13;22,00;10,00;10,00;4,00;7,00;8,00;3,00;0,50;1,00
2020-09-20;18,00;15,00;6,00;5,00;8,00;8,00;3,00;1,00;0,50
2020-09-27;17,00;10,00;7,00;4,00;9,00;7,00;4,00;0,50;0,50
2020-10-04;18,00;10,00;7,00;5,00;7,00;7,00;5,00;0,50;1,00
2020-10-11;18,00;9,00;7,00;4,00;6,00;7,00;2,00;0,50;1,00
2020-10-18;16,00;7,00;4,00;3,00;4,00;6,00;3,00;1,00;1,00
2020-10-25;25,00;6,00;5,00;2,00;7,00;4,00;3,00;1,00;0,50
2020-11-01;5,00;6,00;6,00;2,00;5,00;3,00;3,00;1,00;0,50
2020-11-08;5,00;5,00;5,00;2,00;5,00;4,00;2,00;1,00;1,00
2020-11-15;6,00;5,00;4,00;2,00;3,00;3,00;3,00;0,50;0,50
2020-11-22;10,00;4,00;6,00;2,00;4,00;3,00;4,00;0,50;0,50
2020-11-29;9,00;6,00;6,00;2,00;4,00;3,00;2,00;1,00;0,50
2020-12-06;10,00;8,00;8,00;2,00;4,00;3,00;2,00;1,00;0,50
2020-12-13;11,00;5,00;3,00;2,00;5,00;6,00;2,00;0,50;0,50
2020-12-20;10,00;2,00;3,00;2,00;3,00;2,00;1,00;0,50;0,50
2020-12-27;9,00;3,00;5,00;2,00;2,00;2,00;2,00;0,50;0,50
2021-01-03;11,00;8,00;7,00;1,00;4,00;10,00;3,00;0,50;1,00
2021-01-10;19,00;6,00;3,00;2,00;4,00;17,00;3,00;0,50;1,00
2021-01-17;12,00;7,00;4,00;2,00;4,00;5,00;2,00;1,00;0,50
2021-01-24;11,00;7,00;7,00;2,00;3,00;5,00;2,00;0,50;1,00
2021-01-31;15,00;6,00;4,00;4,00;2,00;6,00;4,00;0,50;1,00
2021-02-07;16,00;6,00;12,00;2,00;4,00;6,00;2,00;0,50;1,00
2021-02-14;18,00;7,00;6,00;3,00;4,00;6,00;6,00;0,50;0,50
2021-02-21;41,00;5,00;3,00;2,00;5,00;5,00;3,00;1,00;0,50
2021-02-28;55,00;7,00;7,00;2,00;6,00;6,00;3,00;0,50;0,50
2021-03-07;38,00;7,00;6,00;2,00;5,00;19,00;3,00;0,50;1,00
2021-03-14;32,00;9,00;8,00;3,00;8,00;7,00;5,00;0,50;0,50
2021-03-21;19,00;3,00;7,00;2,00;5,00;3,00;5,00;0,50;1,00
2021-03-28;100,00;5,00;11,00;1,00;5,00;4,00;4,00;1,00;1,00
2021-04-04;20,00;6,00;7,00;3,00;4,00;7,00;4,00;0,00;1,00
2021-04-11;12,00;8,00;3,00;2,00;6,00;5,00;5,00;1,00;1,00
2021-04-18;16,00;6,00;5,00;3,00;7,00;7,00;3,00;0,50;1,00
2021-04-25;22,00;10,00;3,00;2,00;6,00;7,00;4,00;0,50;1,00
2021-05-02;27,00;10,00;8,00;3,00;7,00;9,00;5,00;0,50;1,00
2021-05-09;25,00;10,00;5,00;3,00;7,00;11,00;5,00;0,50;1,00
2021-05-16;23,00;10,00;12,00;4,00;12,00;11,00;5,00;0,50;1,00
2021-05-23;25,00;5,00;6,00;4,00;10,00;10,00;4,00;1,00;1,00
2021-05-30;24,00;8,00;5,00;5,00;11,00;10,00;6,00;0,50;1,00
2021-06-06;23,00;9,00;6,00;3,00;14,00;12,00;4,00;0,50;1,00
2021-06-13;19,00;5,00;5,00;3,00;12,00;11,00;3,00;0,50;1,00
2021-06-20;20,00;8,00;8,00;4,00;10,00;10,00;6,00;0,00;1,00
2021-06-27;19,00;7,00;5,00;5,00;10,00;11,00;5,00;0,50;1,00
2021-07-04;23,00;13,00;5,00;5,00;8,00;10,00;5,00;1,00;1,00
2021-07-11;17,00;9,00;4,00;5,00;9,00;12,00;4,00;0,50;1,00
2021-07-18;15,00;6,00;4,00;6,00;10,00;9,00;5,00;0,50;1,00
2021-07-25;18,00;10,00;5,00;5,00;11,00;8,00;7,00;0,50;1,00
2021-08-01;18,00;9,00;5,00;5,00;11,00;10,00;4,00;0,50;1,00
2021-08-08;25,00;10,00;3,00;5,00;11,00;10,00;3,00;0,50;1,00
2021-08-15;21,00;6,00;7,00;6,00;11,00;10,00;6,00;0,50;1,00
2021-08-22;22,00;10,00;7,00;6,00;10,00;10,00;4,00;1,00;1,00
2021-08-29;20,00;12,00;6,00;6,00;10,00;11,00;5,00;0,50;1,00
2021-09-05;23,00;7,00;9,00;5,00;14,00;9,00;5,00;0,50;1,00
2021-09-12;28,00;12,00;6,00;4,00;10,00;11,00;5,00;1,00;1,00
2021-09-19;23,00;13,00;5,00;5,00;12,00;11,00;5,00;1,00;1,00
2021-09-26;23,00;12,00;8,00;5,00;10,00;11,00;6,00;0,50;1,00
2021-10-03;21,00;12,00;8,00;5,00;10,00;8,00;6,00;0,50;1,00
2021-10-10;19,00;9,00;6,00;5,00;9,00;8,00;6,00;0,50;1,00
2021-10-17;22,00;5,00;7,00;4,00;11,00;7,00;5,00;0,50;1,00
2021-10-24;22,00;5,00;5,00;4,00;13,00;11,00;5,00;0,50;1,00
2021-10-31;18,00;10,00;8,00;4,00;9,00;7,00;6,00;0,50;1,00
2021-11-07;19,00;8,00;10,00;4,00;10,00;8,00;3,00;0,50;1,00
2021-11-14;16,00;4,00;10,00;4,00;9,00;7,00;3,00;1,00;1,00
2021-11-21;16,00;7,00;5,00;3,00;10,00;7,00;3,00;0,50;1,00
2021-11-28;14,00;4,00;6,00;3,00;8,00;5,00;2,00;0,50;0,50
