Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;51,00;79,00;18,00;12,00;5,00;16,17;113,20;6,22;22,39
2019-01-13;49,00;78,00;17,00;11,00;4,00;13,48;111,48;6,13;19,60
2019-01-20;45,00;69,00;12,00;11,00;6,00;12,16;93,65;6,08;20,68
2019-01-27;39,00;66,00;14,00;11,00;4,00;12,19;104,81;6,09;19,50
2019-02-03;42,00;69,00;12,00;12,00;5,00;12,35;98,82;7,41;19,76
2019-02-10;39,00;72,00;11,00;10,00;4,00;15,84;98,72;6,09;19,50
2019-02-17;45,00;60,00;17,00;11,00;6,00;12,16;97,30;6,08;20,68
2019-02-24;47,00;64,00;19,00;11,00;5,00;13,61;100,18;6,18;21,03
2019-03-03;42,00;79,00;16,00;12,00;5,00;13,59;91,41;6,18;22,24
2019-03-10;41,00;68,00;13,00;12,00;5,00;13,67;90,70;4,97;21,12
2019-03-17;44,00;63,00;18,00;11,00;4,00;12,22;85,56;7,33;20,78
2019-03-24;44,00;66,00;16,00;12,00;4,00;14,67;79,44;6,11;19,56
2019-03-31;48,00;73,00;18,00;12,00;6,00;14,77;89,85;6,15;20,92
2019-04-07;46,00;69,00;15,00;13,00;5,00;14,92;89,51;7,46;19,89
2019-04-14;41,00;60,00;16,00;12,00;4,00;13,26;74,76;6,03;18,09
2019-04-21;45,00;66,00;16,00;12,00;5,00;13,38;75,41;6,08;19,46
2019-04-28;44,00;57,00;14,00;11,00;6,00;14,67;89,22;6,11;19,56
2019-05-05;43,00;64,00;12,00;11,00;5,00;13,51;83,54;7,37;19,66
2019-05-12;39,00;58,00;13,00;11,00;5,00;13,41;85,31;7,31;20,72
2019-05-19;41,00;61,00;19,00;12,00;4,00;13,67;90,70;7,45;21,12
2019-05-26;40,00;62,00;15,00;13,00;6,00;12,50;91,25;6,25;21,25
2019-06-02;44,00;64,00;16,00;13,00;7,00;15,89;86,78;7,33;20,78
2019-06-09;47,00;77,00;16,00;14,00;6,00;14,84;94,00;6,18;22,26
2019-06-16;47,00;71,00;13,00;14,00;6,00;17,32;91,53;7,42;22,26
2019-06-23;47,00;69,00;19,00;13,00;5,00;17,32;87,82;7,42;22,26
2019-06-30;54,00;91,00;17,00;15,00;6,00;15,95;98,18;7,36;22,09
2019-07-07;54,00;90,00;19,00;16,00;7,00;18,84;125,58;8,79;22,60
2019-07-14;52,00;97,00;22,00;15,00;8,00;17,33;120,10;8,67;22,29
2019-07-21;50,00;73,00;20,00;16,00;8,00;18,29;115,85;9,76;20,73
2019-07-28;57,00;86,00;18,00;15,00;9,00;19,83;109,04;7,43;21,07
2019-08-04;54,00;82,00;18,00;14,00;9,00;19,64;111,68;7,36;19,64
2019-08-11;51,00;70,00;17,00;13,00;7,00;18,21;103,21;7,29;19,43
2019-08-18;44,00;60,00;24,00;13,00;7,00;14,67;97,78;7,33;19,56
2019-08-25;38,00;69,00;13,00;12,00;6,00;14,71;95,61;7,35;18,39
2019-09-01;41,00;57,00;14,00;11,00;5,00;16,15;99,39;8,70;18,64
2019-09-08;43,00;70,00;14,00;11,00;6,00;14,74;89,69;9,83;17,20
2019-09-15;40,00;56,00;15,00;10,00;6,00;13,33;87,27;9,70;18,18
2019-09-22;36,00;70,00;16,00;10,00;5,00;14,90;88,14;9,93;18,62
2019-09-29;43,00;55,00;14,00;12,00;5,00;14,74;81,09;9,83;18,43
2019-10-06;38,00;52,00;14,00;11,00;6,00;13,93;93,73;11,40;19,00
2019-10-13;40,00;58,00;17,00;11,00;5,00;13,75;91,25;15,00;20,00
2019-10-20;40,00;59,00;14,00;11,00;6,00;13,75;85,00;31,25;30,00
2019-10-27;41,00;61,00;15,00;10,00;5,00;13,67;79,52;17,39;22,36
2019-11-03;39,00;61,00;11,00;10,00;6,00;12,58;84,29;10,06;20,13
2019-11-10;38,00;59,00;14,00;11,00;5,00;14,71;82,13;8,58;18,39
2019-11-17;41,00;60,00;13,00;11,00;5,00;13,67;72,06;9,94;18,64
2019-11-24;40,00;56,00;12,00;10,00;5,00;15,00;81,25;11,25;20,00
2019-12-01;37,00;58,00;14,00;11,00;5,00;14,80;83,87;11,10;19,73
2019-12-08;38,00;56,00;13,00;11,00;5,00;13,48;71,10;12,26;19,61
2019-12-15;38,00;57,00;16,00;11,00;5,00;13,48;79,68;13,48;20,84
2019-12-22;47,00;62,00;18,00;13,00;5,00;16,08;94,00;16,08;23,50
2019-12-29;47,00;61,00;15,00;11,00;6,00;14,84;103,89;12,37;24,74
2020-01-05;46,00;73,00;17,00;11,00;6,00;14,92;118,11;12,43;26,11
2020-01-12;47,00;77,00;15,00;11,00;4,00;14,84;121,21;11,13;24,74
2020-01-19;44,00;75,00;20,00;11,00;5,00;13,44;110,00;11,00;23,22
2020-01-26;43,00;69,00;14,00;10,00;4,00;13,51;95,83;9,83;20,89
2020-02-02;44,00;68,00;16,00;10,00;4,00;11,00;101,44;9,78;20,78
2020-02-09;46,00;70,00;12,00;9,00;4,00;12,43;93,24;8,70;21,14
2020-02-16;46,00;68,00;13,00;10,00;5,00;12,11;90,79;10,89;21,79
2020-02-23;41,00;53,00;17,00;10,00;5,00;13,26;79,59;9,65;20,50
2020-03-01;37,00;55,00;14,00;9,00;5,00;9,87;77,70;8,63;20,97
2020-03-08;41,00;57,00;9,00;11,00;7,00;7,45;96,91;11,18;59,64
2020-03-15;24,00;27,00;7,00;6,00;4,00;3,79;46,74;10,11;25,26
2020-03-22;13,00;16,00;5,00;4,00;2,00;3,55;26,00;5,91;13,00
2020-03-29;12,00;15,00;4,00;3,00;2,00;3,60;20,40;6,00;10,80
2020-04-05;11,00;17,00;4,00;4,00;2,00;2,44;19,56;4,89;11,00
2020-04-12;11,00;13,00;5,00;4,00;1,00;3,67;19,56;4,89;9,78
2020-04-19;12,00;14,00;4,00;4,00;2,00;3,60;18,00;4,80;10,80
2020-04-26;12,00;15,00;4,00;3,00;2,00;5,33;21,33;5,33;12,00
2020-05-03;11,00;13,00;2,00;5,00;2,00;4,89;22,00;4,89;12,22
2020-05-10;13,00;15,00;5,00;4,00;2,00;5,20;27,30;5,20;14,30
2020-05-17;15,00;19,00;7,00;6,00;2,00;5,00;27,50;6,25;13,75
2020-05-24;16,00;21,00;8,00;6,00;2,00;4,92;29,54;4,92;13,54
2020-05-31;21,00;29,00;8,00;7,00;2,00;8,65;33,35;6,18;13,59
2020-06-07;23,00;29,00;8,00;8,00;2,00;7,26;35,11;4,84;15,74
2020-06-14;28,00;31,00;10,00;8,00;2,00;8,91;43,27;5,09;16,55
2020-06-21;27,00;38,00;8,00;8,00;3,00;9,82;42,95;4,91;14,73
2020-06-28;30,00;49,00;8,00;9,00;3,00;8,75;51,25;6,25;13,75
2020-07-05;31,00;40,00;9,00;9,00;3,00;11,16;43,40;6,20;13,64
2020-07-12;29,00;35,00;7,00;9,00;3,00;10,09;52,96;6,30;12,61
2020-07-19;28,00;25,00;8,00;8,00;3,00;8,52;45,04;6,09;13,39
2020-07-26;24,00;23,00;6,00;8,00;3,00;8,84;37,89;6,32;13,89
2020-08-02;30,00;21,00;4,00;7,00;4,00;10,00;35,00;7,50;13,75
2020-08-09;27,00;30,00;7,00;7,00;4,00;9,00;36,00;6,43;12,86
2020-08-16;22,00;26,00;9,00;6,00;3,00;7,33;31,78;6,11;12,22
2020-08-23;21,00;26,00;7,00;6,00;3,00;7,41;28,41;6,18;12,35
2020-08-30;21,00;29,00;5,00;6,00;3,00;7,41;29,65;6,18;13,59
2020-09-06;19,00;25,00;7,00;5,00;3,00;5,94;33,25;4,75;13,06
2020-09-13;19,00;18,00;6,00;7,00;3,00;4,75;29,69;5,94;11,88
2020-09-20;17,00;24,00;4,00;6,00;2,00;4,86;27,93;4,86;12,14
2020-09-27;19,00;24,00;7,00;6,00;3,00;5,07;27,87;6,33;13,93
2020-10-04;19,00;24,00;7,00;6,00;2,00;4,75;27,31;5,94;14,25
2020-10-11;22,00;19,00;6,00;6,00;2,00;4,89;24,44;6,11;14,67
2020-10-18;20,00;20,00;5,00;5,00;2,00;5,00;22,50;6,25;15,00
2020-10-25;15,00;22,00;7,00;5,00;3,00;3,75;23,75;5,00;13,75
2020-11-01;13,00;18,00;5,00;4,00;2,00;3,55;26,00;4,73;10,64
2020-11-08;15,00;23,00;8,00;5,00;2,00;3,46;28,85;5,77;13,85
2020-11-15;18,00;28,00;6,00;5,00;3,00;4,80;25,20;6,00;14,40
2020-11-22;20,00;24,00;6,00;4,00;2,00;5,00;27,50;7,50;15,00
2020-11-29;22,00;26,00;9,00;5,00;2,00;6,11;29,33;6,11;13,44
2020-12-06;25,00;27,00;8,00;5,00;3,00;4,76;25,00;5,95;13,10
2020-12-13;28,00;28,00;10,00;6,00;2,00;4,87;25,57;4,87;13,39
2020-12-20;24,00;20,00;7,00;6,00;2,00;3,79;20,21;6,32;15,16
2020-12-27;26,00;26,00;4,00;5,00;2,00;6,19;24,76;4,95;14,86
2021-01-03;30,00;26,00;6,00;5,00;1,00;6,00;27,60;6,00;14,40
2021-01-10;25,00;21,00;8,00;5,00;3,00;4,76;22,62;5,95;14,29
2021-01-17;23,00;21,00;6,00;4,00;2,00;4,84;20,58;4,84;14,53
2021-01-24;19,00;16,00;5,00;4,00;2,00;4,75;19,00;4,75;14,25
2021-01-31;16,00;16,00;5,00;5,00;2,00;4,92;20,92;3,69;14,77
2021-02-07;16,00;16,00;3,00;5,00;2,00;4,92;20,92;4,92;14,77
2021-02-14;20,00;16,00;6,00;5,00;2,00;5,00;22,50;3,75;16,25
2021-02-21;21,00;24,00;7,00;6,00;2,00;4,94;28,41;4,94;17,29
2021-02-28;20,00;21,00;8,00;6,00;1,00;5,00;26,25;5,00;18,75
2021-03-07;21,00;21,00;6,00;5,00;2,00;4,94;29,65;4,94;18,53
