Train;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;62,00;6,00;17,00;4,00;3,00;5,47;83,88;87,53;7,29
2019-01-13;62,00;15,00;6,00;3,00;4,00;3,65;94,82;83,88;7,29
2019-01-20;63,00;16,00;5,00;4,00;3,00;5,40;90,00;84,60;7,20
2019-01-27;62,00;8,00;10,00;4,00;2,00;3,65;102,12;80,24;7,29
2019-02-03;69,00;11,00;19,00;4,00;5,00;5,45;181,58;88,97;5,45
2019-02-10;69,00;23,00;7,00;4,00;4,00;3,63;165,24;87,16;7,26
2019-02-17;78,00;20,00;11,00;4,00;5,00;5,44;141,49;101,58;7,26
2019-02-24;73,00;21,00;9,00;5,00;5,00;5,48;129,58;89,43;7,30
2019-03-03;72,00;13,00;9,00;4,00;3,00;5,40;122,40;90,00;7,20
2019-03-10;68,00;11,00;17,00;3,00;2,00;7,16;98,42;80,53;7,16
2019-03-17;75,00;17,00;22,00;4,00;4,00;7,32;109,76;91,46;7,32
2019-03-24;77,00;9,00;15,00;4,00;5,00;7,33;119,17;91,67;7,33
2019-03-31;72,00;20,00;8,00;3,00;3,00;3,60;151,20;88,20;7,20
2019-04-07;72,00;16,00;13,00;5,00;3,00;5,40;167,40;102,60;7,20
2019-04-14;75,00;25,00;19,00;6,00;5,00;10,71;173,21;94,64;7,14
2019-04-21;69,00;15,00;18,00;5,00;5,00;9,08;181,58;88,97;7,26
2019-04-28;63,00;9,00;18,00;5,00;7,00;7,20;163,80;90,00;7,20
2019-05-05;65,00;17,00;10,00;5,00;3,00;7,22;108,33;88,47;7,22
2019-05-12;70,00;15,00;19,00;5,00;6,00;5,53;119,74;92,11;9,21
2019-05-19;71,00;6,00;15,00;5,00;5,00;7,28;125,62;96,49;9,10
2019-05-26;74,00;10,00;10,00;5,00;6,00;9,02;151,61;102,88;9,02
2019-06-02;76,00;13,00;21,00;6,00;6,00;9,05;137,52;88,67;9,05
2019-06-09;78,00;15,00;11,00;6,00;6,00;9,07;126,98;96,14;9,07
2019-06-16;80,00;18,00;18,00;6,00;6,00;7,27;134,55;98,18;10,91
2019-06-23;85,00;21,00;17,00;4,00;6,00;9,04;159,15;108,51;10,85
2019-06-30;93,00;23,00;16,00;4,00;5,00;7,29;151,35;109,41;10,94
2019-07-07;95,00;17,00;27,00;5,00;5,00;7,31;180,87;104,13;9,13
2019-07-14;90,00;24,00;16,00;4,00;6,00;5,40;167,40;100,80;9,00
2019-07-21;85,00;25,00;16,00;5,00;4,00;7,23;150,11;108,51;9,04
2019-07-28;100,00;26,00;16,00;4,00;7,00;9,09;160,00;112,73;9,09
2019-08-04;100,00;13,00;16,00;5,00;4,00;7,27;154,55;105,45;9,09
2019-08-11;93,00;26,00;25,00;4,00;6,00;7,29;164,12;114,88;7,29
2019-08-18;89,00;16,00;19,00;4,00;5,00;7,27;156,20;127,14;7,27
2019-08-25;71,00;15,00;18,00;4,00;4,00;3,64;162,03;105,59;7,28
2019-09-01;65,00;18,00;19,00;5,00;4,00;5,42;115,56;92,08;7,22
2019-09-08;70,00;12,00;14,00;6,00;4,00;7,18;122,05;95,13;7,18
2019-09-15;72,00;16,00;14,00;4,00;4,00;5,54;134,77;96,00;7,38
2019-09-22;65,00;12,00;14,00;5,00;6,00;5,42;124,58;93,89;7,22
2019-09-29;76,00;15,00;23,00;6,00;3,00;5,43;132,10;88,67;7,24
2019-10-06;69,00;16,00;13,00;4,00;3,00;5,45;127,11;94,42;7,26
2019-10-13;76,00;15,00;18,00;3,00;5,00;5,43;171,90;90,48;7,24
2019-10-20;76,00;14,00;14,00;3,00;3,00;3,62;168,29;97,71;7,24
2019-10-27;73,00;16,00;12,00;3,00;3,00;3,65;125,93;93,08;7,30
2019-11-03;63,00;16,00;8,00;3,00;4,00;3,60;167,40;88,20;7,20
2019-11-10;61,00;12,00;14,00;4,00;2,00;1,85;140,48;88,73;7,39
2019-11-17;57,00;15,00;11,00;3,00;2,00;3,68;132,39;86,42;7,35
2019-11-24;56,00;7,00;17,00;4,00;2,00;3,61;106,58;75,87;7,23
2019-12-01;47,00;13,00;7,00;3,00;4,00;1,81;113,88;74,12;7,23
2019-12-08;50,00;12,00;11,00;3,00;2,00;1,79;108,93;75,00;7,14
2019-12-15;52,00;17,00;12,00;4,00;2,00;3,59;116,55;71,72;8,97
2019-12-22;53,00;16,00;8,00;5,00;3,00;5,48;142,55;71,28;9,14
2019-12-29;48,00;17,00;17,00;3,00;2,00;5,33;136,89;87,11;7,11
2020-01-05;49,00;14,00;16,00;3,00;3,00;1,81;112,52;94,37;7,26
2020-01-12;49,00;10,00;11,00;3,00;3,00;3,63;128,85;90,74;7,26
2020-01-19;59,00;16,00;14,00;3,00;2,00;3,58;101,91;87,61;7,15
2020-01-26;55,00;11,00;5,00;3,00;1,00;1,77;118,87;83,39;7,10
2020-02-02;61,00;17,00;16,00;2,00;3,00;1,79;130,97;78,94;5,38
2020-02-09;61,00;13,00;14,00;3,00;3,00;1,79;138,15;78,94;5,38
2020-02-16;60,00;16,00;11,00;3,00;2,00;3,64;180,00;83,64;7,27
2020-02-23;58,00;9,00;8,00;2,00;2,00;1,81;164,94;79,75;5,44
2020-03-01;48,00;11,00;10,00;3,00;1,00;1,78;103,11;76,44;5,33
2020-03-08;49,00;3,00;6,00;1,00;1,00;1,81;87,11;56,26;5,44
2020-03-15;24,00;3,00;2,00;1,00;1,00;0,92;25,85;25,85;1,85
2020-03-22;14,00;1,00;0,00;0,50;0,50;0,88;15,75;10,50;1,75
2020-03-29;10,00;1,00;0,00;0,50;0,50;0,00;16,00;8,00;2,00
2020-04-05;8,00;5,00;1,00;0,50;0,50;1,00;8,00;10,00;2,00
2020-04-12;11,00;0,00;3,00;0,50;0,00;0,00;14,67;9,17;1,83
2020-04-19;12,00;3,00;1,00;0,50;0,50;1,00;10,00;10,00;2,00
2020-04-26;10,00;2,00;2,00;0,50;0,50;0,83;11,67;8,33;1,67
2020-05-03;13,00;3,00;2,00;1,00;1,00;0,93;14,86;9,29;1,86
2020-05-10;21,00;1,00;4,00;1,00;0,50;0,88;14,00;10,50;1,75
2020-05-17;26,00;1,00;4,00;1,00;0,50;0,93;18,57;11,14;1,86
2020-05-24;39,00;3,00;4,00;0,50;0,50;0,89;23,05;14,18;1,77
2020-05-31;54,00;7,00;8,00;2,00;0,50;1,80;23,40;14,40;1,80
2020-06-07;54,00;11,00;4,00;1,00;1,00;1,80;28,80;16,20;3,60
2020-06-14;58,00;17,00;7,00;2,00;1,00;1,81;36,25;19,94;3,63
2020-06-21;67,00;20,00;10,00;2,00;1,00;1,81;43,46;27,16;3,62
2020-06-28;79,00;13,00;11,00;1,00;0,50;1,80;64,64;28,73;3,59
2020-07-05;86,00;18,00;5,00;2,00;0,50;0,91;75,02;32,94;3,66
2020-07-12;77,00;14,00;6,00;2,00;1,00;3,67;82,50;38,50;1,83
2020-07-19;76,00;23,00;11,00;2,00;1,00;1,81;88,67;43,43;3,62
2020-07-26;78,00;10,00;12,00;2,00;2,00;1,81;76,19;47,16;1,81
2020-08-02;85,00;15,00;14,00;2,00;0,50;1,81;68,72;50,64;3,62
2020-08-09;81,00;14,00;8,00;2,00;2,00;3,60;57,60;46,80;3,60
2020-08-16;67,00;10,00;3,00;2,00;1,00;1,81;43,46;47,08;1,81
2020-08-23;57,00;14,00;8,00;2,00;1,00;1,84;64,35;49,65;1,84
2020-08-30;55,00;75,00;4,00;2,00;0,50;1,83;60,50;47,67;3,67
2020-09-06;54,00;30,00;8,00;1,00;1,00;1,80;45,00;43,20;3,60
2020-09-13;50,00;28,00;3,00;1,00;1,00;1,85;51,85;46,30;1,85
2020-09-20;48,00;25,00;5,00;2,00;1,00;1,78;35,56;35,56;1,78
2020-09-27;49,00;18,00;5,00;1,00;1,00;1,81;30,85;32,67;1,81
2020-10-04;52,00;5,00;5,00;1,00;1,00;1,79;32,28;34,07;1,79
2020-10-11;57,00;4,00;9,00;0,50;1,00;0,92;25,74;29,42;3,68
2020-10-18;59,00;8,00;9,00;1,00;0,00;0,89;26,82;28,61;3,58
2020-10-25;41,00;6,00;4,00;0,50;0,00;1,78;19,61;28,52;3,57
2020-11-01;22,00;5,00;1,00;0,50;0,00;0,92;12,83;18,33;1,83
2020-11-08;22,00;2,00;6,00;0,50;0,50;0,92;16,50;18,33;3,67
2020-11-15;26,00;3,00;1,00;1,00;0,50;0,93;18,57;18,57;3,71
2020-11-22;34,00;5,00;3,00;1,00;1,00;1,79;17,89;21,47;1,79
2020-11-29;39,00;6,00;8,00;1,00;1,00;0,93;22,29;26,00;1,86
2020-12-06;43,00;5,00;5,00;1,00;0,50;0,90;23,29;28,67;1,79
2020-12-13;50,00;4,00;3,00;1,00;1,00;0,89;17,86;21,43;3,57
2020-12-20;46,00;9,00;2,00;1,00;1,00;0,92;18,40;16,56;1,84
2020-12-27;46,00;10,00;2,00;1,00;0,50;1,84;20,24;14,72;3,68
2021-01-03;43,00;6,00;7,00;1,00;1,00;0,90;12,54;10,75;1,79
2021-01-10;38,00;6,00;7,00;1,00;0,50;1,81;10,86;10,86;1,81
2021-01-17;38,00;3,00;7,00;1,00;0,00;0,90;7,24;12,67;1,81
2021-01-24;37,00;4,00;5,00;1,00;1,00;0,93;12,95;12,95;1,85
2021-01-31;42,00;4,00;5,00;1,00;0,50;0,91;16,43;16,43;3,65
2021-02-07;50,00;7,00;2,00;1,00;1,00;1,79;10,71;14,29;1,79
2021-02-14;58,00;8,00;6,00;0,50;1,00;0,91;18,13;16,31;3,63
2021-02-21;50,00;4,00;5,00;1,00;1,00;0,93;24,07;22,22;3,70
2021-02-28;49,00;7,00;4,00;1,00;1,00;1,81;14,52;23,59;3,63
2021-03-07;49,00;5,00;1,00;1,00;0,50;0,91;16,33;27,22;3,63
2021-03-14;46,00;5,00;6,00;1,00;0,50;0,92;16,56;27,60;3,68
2021-03-21;40,00;6,00;2,00;0,50;0,50;0,91;20,00;30,91;3,64
2021-03-28;48,00;11,00;3,00;1,00;1,00;0,92;22,15;33,23;3,69
2021-04-04;35,00;6,00;4,00;1,00;1,00;0,92;22,11;38,68;3,68
2021-04-11;34,00;4,00;3,00;1,00;0,50;0,89;16,11;41,16;3,58
2021-04-18;42,00;5,00;5,00;1,00;1,00;1,83;21,91;45,65;3,65
2021-04-25;46,00;6,00;6,00;1,00;0,50;1,84;29,44;53,36;3,68
2021-05-02;63,00;9,00;7,00;1,00;1,00;1,80;36,00;52,20;3,60
2021-05-09;62,00;12,00;3,00;2,00;0,00;1,82;41,94;54,71;3,65
2021-05-16;62,00;8,00;6,00;2,00;2,00;1,82;34,65;65,65;3,65
2021-05-23;62,00;7,00;11,00;2,00;1,00;3,65;47,41;80,24;3,65
