Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;12,00;20,00;11,00;8,00;6,00;4,80;74,40;7,20;7,20
2019-01-13;13,00;18,00;12,00;7,00;6,00;6,50;67,17;6,50;6,50
2019-01-20;13,00;19,00;13,00;8,00;6,00;4,33;54,17;6,50;6,50
2019-01-27;19,00;20,00;16,00;10,00;8,00;11,88;57,00;7,13;7,13
2019-02-03;21,00;17,00;14,00;9,00;11,00;9,33;49,00;7,00;7,00
2019-02-10;22,00;22,00;16,00;10,00;11,00;11,00;46,20;6,60;6,60
2019-02-17;25,00;20,00;20,00;10,00;11,00;13,64;47,73;6,82;6,82
2019-02-24;25,00;19,00;19,00;10,00;13,00;13,64;50,00;6,82;6,82
2019-03-03;24,00;19,00;17,00;11,00;12,00;13,09;43,64;6,55;8,73
2019-03-10;24,00;15,00;17,00;10,00;16,00;13,09;45,82;6,55;8,73
2019-03-17;24,00;20,00;23,00;11,00;17,00;13,09;39,27;6,55;8,73
2019-03-24;28,00;24,00;28,00;11,00;16,00;16,33;51,33;7,00;11,67
2019-03-31;21,00;30,00;16,00;9,00;14,00;8,40;58,80;8,40;10,50
2019-04-07;19,00;28,00;22,00;10,00;14,00;6,33;63,33;10,56;10,56
2019-04-14;22,00;34,00;28,00;12,00;19,00;8,80;88,00;13,20;11,00
2019-04-21;21,00;25,00;22,00;11,00;14,00;11,67;95,67;11,67;11,67
2019-04-28;21,00;29,00;17,00;10,00;15,00;9,33;86,33;11,67;11,67
2019-05-05;21,00;22,00;20,00;10,00;13,00;9,33;79,33;11,67;11,67
2019-05-12;19,00;28,00;17,00;10,00;17,00;6,33;80,22;10,56;12,67
2019-05-19;20,00;23,00;19,00;11,00;16,00;11,11;86,67;13,33;17,78
2019-05-26;29,00;43,00;34,00;14,00;18,00;11,15;129,38;13,38;17,85
2019-06-02;28,00;40,00;33,00;16,00;24,00;15,08;107,69;12,92;17,23
2019-06-09;25,00;36,00;28,00;17,00;25,00;18,18;100,00;11,36;18,18
2019-06-16;27,00;38,00;26,00;16,00;28,00;20,25;114,75;11,25;20,25
2019-06-23;33,00;58,00;28,00;16,00;32,00;19,80;116,60;15,40;19,80
2019-06-30;35,00;63,00;37,00;16,00;35,00;19,69;137,81;15,31;19,69
2019-07-07;41,00;69,00;46,00;17,00;36,00;19,42;153,21;17,26;19,42
2019-07-14;45,00;76,00;55,00;19,00;42,00;21,43;186,43;17,14;19,29
2019-07-21;48,00;76,00;45,00;19,00;39,00;21,82;192,00;17,45;19,64
2019-07-28;55,00;67,00;54,00;19,00;44,00;24,20;180,40;17,60;17,60
2019-08-04;56,00;58,00;34,00;18,00;46,00;31,36;165,76;17,92;17,92
2019-08-11;47,00;49,00;28,00;17,00;47,00;29,10;125,33;15,67;15,67
2019-08-18;42,00;51,00;29,00;17,00;34,00;17,68;126,00;17,68;13,26
2019-08-25;24,00;40,00;21,00;13,00;25,00;13,09;89,45;13,09;13,09
2019-09-01;18,00;22,00;20,00;11,00;18,00;11,25;63,00;9,00;11,25
2019-09-08;16,00;19,00;14,00;11,00;11,00;9,14;57,14;6,86;9,14
2019-09-15;13,00;21,00;18,00;9,00;9,00;6,50;49,83;8,67;8,67
2019-09-22;9,00;10,00;14,00;8,00;7,00;4,50;40,50;6,75;9,00
2019-09-29;6,00;12,00;15,00;8,00;7,00;4,00;30,00;4,00;8,00
2019-10-06;6,00;12,00;10,00;6,00;9,00;2,00;28,00;4,00;8,00
2019-10-13;6,00;13,00;7,00;7,00;5,00;2,00;34,00;4,00;6,00
2019-10-20;6,00;13,00;10,00;5,00;5,00;2,00;32,00;4,00;6,00
2019-10-27;6,00;13,00;6,00;5,00;8,00;2,00;26,00;4,00;4,00
2019-11-03;5,00;10,00;7,00;5,00;5,00;2,50;40,00;5,00;5,00
2019-11-10;5,00;15,00;6,00;4,00;4,00;2,50;35,00;2,50;5,00
2019-11-17;5,00;11,00;5,00;4,00;4,00;2,50;35,00;2,50;5,00
2019-11-24;6,00;9,00;4,00;4,00;5,00;2,00;24,00;2,00;4,00
2019-12-01;5,00;12,00;5,00;4,00;8,00;2,50;27,50;2,50;2,50
2019-12-08;4,00;9,00;6,00;4,00;4,00;2,00;34,00;2,00;2,00
2019-12-15;4,00;10,00;4,00;4,00;4,00;2,00;26,00;2,00;2,00
2019-12-22;7,00;13,00;8,00;7,00;5,00;4,67;49,00;4,67;4,67
2019-12-29;9,00;18,00;9,00;8,00;7,00;4,50;65,25;9,00;6,75
2020-01-05;12,00;22,00;9,00;9,00;6,00;4,80;74,40;7,20;7,20
2020-01-12;15,00;20,00;14,00;8,00;7,00;4,29;72,86;8,57;6,43
2020-01-19;14,00;23,00;10,00;8,00;9,00;7,00;79,33;7,00;7,00
2020-01-26;15,00;18,00;12,00;8,00;8,00;4,29;57,86;6,43;6,43
2020-02-02;14,00;19,00;8,00;7,00;7,00;7,00;58,33;7,00;7,00
2020-02-09;13,00;16,00;10,00;7,00;9,00;4,33;52,00;6,50;6,50
2020-02-16;17,00;19,00;11,00;7,00;11,00;6,38;53,13;6,38;6,38
2020-02-23;15,00;14,00;10,00;5,00;10,00;4,29;42,86;6,43;6,43
2020-03-01;13,00;17,00;10,00;6,00;9,00;4,33;41,17;4,33;6,50
2020-03-08;11,00;13,00;9,00;5,00;6,00;2,20;37,40;4,40;6,60
2020-03-15;4,00;8,00;8,00;4,00;1,00;2,00;24,00;2,00;6,00
2020-03-22;4,00;6,00;6,00;4,00;2,00;1,00;38,00;2,00;4,00
2020-03-29;5,00;8,00;11,00;3,00;2,00;1,25;42,50;2,50;5,00
2020-04-05;6,00;8,00;11,00;4,00;3,00;2,00;26,00;2,00;4,00
2020-04-12;7,00;12,00;12,00;4,00;3,00;2,33;37,33;2,33;4,67
2020-04-19;7,00;11,00;16,00;4,00;2,00;2,33;56,00;2,33;7,00
2020-04-26;6,00;15,00;21,00;5,00;3,00;2,00;62,00;2,00;8,00
2020-05-03;5,00;12,00;17,00;9,00;4,00;2,50;117,50;2,50;12,50
2020-05-10;10,00;12,00;22,00;11,00;5,00;5,00;115,00;5,00;15,00
2020-05-17;13,00;23,00;23,00;13,00;9,00;6,50;119,17;4,33;17,33
2020-05-24;18,00;28,00;27,00;14,00;15,00;11,25;117,00;4,50;20,25
2020-05-31;29,00;45,00;31,00;15,00;15,00;13,38;131,62;4,46;20,08
2020-06-07;29,00;56,00;38,00;17,00;18,00;15,62;136,08;6,69;26,77
2020-06-14;32,00;59,00;38,00;16,00;25,00;17,07;151,47;6,40;25,60
2020-06-21;40,00;64,00;45,00;17,00;33,00;26,67;168,89;13,33;28,89
2020-06-28;45,00;73,00;46,00;18,00;40,00;25,71;180,00;12,86;25,71
2020-07-05;51,00;81,00;58,00;21,00;43,00;26,61;204,00;17,74;24,39
2020-07-12;51,00;91,00;60,00;21,00;38,00;26,61;221,74;19,96;24,39
2020-07-19;50,00;83,00;61,00;18,00;40,00;26,09;213,04;21,74;21,74
2020-07-26;53,00;72,00;54,00;21,00;47,00;28,71;216,42;24,29;22,08
2020-08-02;59,00;100,00;45,00;19,00;51,00;28,41;198,85;21,85;19,67
