Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;79,00;54,00;38,00;40,00;8,00;38,54;90,56;192,68;94,41
2019-01-13;81,00;47,00;33,00;41,00;11,00;38,57;84,86;175,50;88,71
2019-01-20;72,00;44,00;31,00;37,00;11,00;36,00;62,53;149,68;81,47
2019-01-27;77,00;50,00;40,00;37,00;12,00;32,73;67,38;140,53;77,00
2019-02-03;85,00;53,00;36,00;32,00;10,00;32,11;66,11;141,67;73,67
2019-02-10;100,00;42,00;42,00;29,00;13,00;30,77;61,54;123,08;69,23
2019-02-17;97,00;38,00;41,00;27,00;13,00;32,33;57,06;123,63;79,88
2019-02-24;91,00;42,00;26,00;25,00;12,00;37,92;54,98;121,33;77,73
2019-03-03;85,00;43,00;37,00;27,00;10,00;34,77;52,16;121,70;77,27
2019-03-10;66,00;33,00;26,00;25,00;11,00;32,06;52,80;116,91;69,77
2019-03-17;69,00;39,00;32,00;27,00;11,00;32,58;49,83;128,42;65,17
2019-03-24;62,00;40,00;28,00;24,00;13,00;31,94;52,61;118,36;65,76
2019-03-31;64,00;38,00;34,00;24,00;11,00;29,09;54,30;124,12;62,06
2019-04-07;63,00;36,00;44,00;26,00;14,00;28,64;53,45;127,91;59,18
2019-04-14;55,00;43,00;23,00;26,00;13,00;26,55;45,52;119,48;55,00
2019-04-21;59,00;40,00;34,00;27,00;12,00;34,26;49,48;144,65;55,19
2019-04-28;60,00;41,00;40,00;27,00;13,00;32,90;67,74;147,10;54,19
2019-05-05;58,00;34,00;24,00;28,00;13,00;29,00;52,20;141,13;54,13
2019-05-12;52,00;34,00;30,00;27,00;18,00;26,96;50,07;154,07;53,93
2019-05-19;50,00;42,00;45,00;30,00;17,00;34,62;63,46;157,69;55,77
2019-05-26;53,00;43,00;31,00;32,00;15,00;30,29;60,57;160,89;58,68
2019-06-02;52,00;44,00;31,00;36,00;16,00;38,52;63,56;163,70;59,70
2019-06-09;60,00;54,00;40,00;39,00;18,00;44,52;60,00;164,52;61,94
2019-06-16;62,00;52,00;46,00;43,00;22,00;50,73;58,24;167,21;63,88
2019-06-23;62,00;49,00;33,00;42,00;20,00;48,44;62,00;170,50;58,13
2019-06-30;64,00;54,00;45,00;42,00;25,00;50,82;71,53;161,88;50,82
2019-07-07;67,00;75,00;48,00;46,00;24,00;51,69;89,97;166,54;57,43
2019-07-14;86,00;62,00;50,00;45,00;20,00;45,87;89,82;168,18;57,33
2019-07-21;79,00;62,00;45,00;43,00;25,00;50,10;80,93;161,85;57,80
2019-07-28;83,00;57,00;44,00;43,00;25,00;52,12;84,93;156,35;55,98
2019-08-04;83,00;56,00;50,00;44,00;21,00;55,98;84,93;169,86;54,05
2019-08-11;81,00;42,00;33,00;38,00;24,00;48,21;81,00;150,43;50,14
2019-08-18;69,00;46,00;39,00;34,00;20,00;38,33;63,25;143,75;47,92
2019-08-25;62,00;46,00;36,00;37,00;23,00;34,88;62,00;147,25;44,56
2019-09-01;54,00;37,00;32,00;31,00;16,00;25,07;63,64;136,93;46,29
2019-09-08;46,00;31,00;33,00;32,00;13,00;21,08;51,75;141,83;42,17
2019-09-15;47,00;30,00;29,00;30,00;14,00;16,92;50,76;142,88;47,00
2019-09-22;45,00;26,00;31,00;31,00;13,00;13,70;50,87;181,96;46,96
2019-09-29;48,00;29,00;30,00;29,00;10,00;13,44;40,32;124,80;48,00
2019-10-06;41,00;34,00;29,00;25,00;13,00;15,62;50,76;121,05;42,95
2019-10-13;42,00;33,00;23,00;28,00;10,00;15,27;36,27;99,27;43,91
2019-10-20;43,00;31,00;26,00;26,00;9,00;11,22;43,00;84,13;44,87
2019-10-27;42,00;35,00;15,00;22,00;6,00;11,45;34,36;78,27;42,00
2019-11-03;42,00;41,00;23,00;27,00;8,00;15,27;36,27;87,82;47,73
2019-11-10;41,00;30,00;25,00;20,00;9,00;11,18;37,27;78,27;44,73
2019-11-17;40,00;35,00;21,00;24,00;7,00;17,14;38,10;70,48;47,62
2019-11-24;37,00;29,00;20,00;22,00;8,00;13,63;33,11;77,89;50,63
2019-12-01;34,00;24,00;23,00;22,00;9,00;13,22;32,11;69,89;49,11
2019-12-08;36,00;35,00;21,00;21,00;7,00;11,37;36,00;68,21;49,26
2019-12-15;50,00;36,00;26,00;22,00;9,00;17,31;36,54;80,77;50,00
2019-12-22;57,00;30,00;25,00;31,00;10,00;19,00;51,30;119,70;64,60
2019-12-29;67,00;52,00;39,00;38,00;12,00;26,80;63,17;178,03;89,97
2020-01-05;67,00;50,00;33,00;42,00;12,00;30,63;86,14;183,77;97,63
2020-01-12;70,00;48,00;43,00;40,00;11,00;33,06;75,83;194,44;103,06
