Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;59,00;17,00;72,00;75,00;3,00;102,17;5,76;20,15;15,83
2019-01-13;57,00;22,00;61,00;75,00;3,00;92,63;1,43;19,95;15,68
2019-01-20;48,00;14,00;72,00;62,00;3,00;81,88;4,24;16,94;14,12
2019-01-27;30,00;11,00;52,00;66,00;4,00;77,14;2,86;15,71;11,43
2019-02-03;23,00;10,00;41,00;50,00;2,00;74,75;4,31;14,38;11,50
2019-02-10;22,00;9,00;34,00;60,00;3,00;70,40;2,93;14,67;13,20
2019-02-17;24,00;9,00;45,00;52,00;3,00;70,59;2,82;22,59;14,12
2019-02-24;33,00;9,00;44,00;51,00;2,00;77,48;2,87;21,52;11,48
2019-03-03;27,00;8,00;39,00;53,00;2,00;73,89;4,26;18,47;22,74
2019-03-10;29,00;7,00;37,00;49,00;3,00;65,25;2,90;13,05;13,05
2019-03-17;27,00;13,00;37,00;51,00;4,00;79,58;5,68;24,16;15,63
2019-03-24;29,00;15,00;33,00;47,00;4,00;108,75;5,80;36,25;40,60
2019-03-31;37,00;11,00;33,00;39,00;4,00;61,19;2,85;14,23;11,38
2019-04-07;40,00;16,00;51,00;41,00;2,00;62,86;2,86;14,29;10,00
2019-04-14;42,00;14,00;52,00;40,00;3,00;62,28;2,90;15,93;10,14
2019-04-21;41,00;14,00;50,00;45,00;3,00;80,59;2,83;15,55;9,90
2019-04-28;40,00;16,00;55,00;49,00;4,00;80,00;2,86;15,71;17,14
2019-05-05;40,00;12,00;43,00;51,00;4,00;72,86;4,29;15,71;11,43
2019-05-12;35,00;13,00;40,00;46,00;2,00;65,80;2,80;19,60;11,20
2019-05-19;35,00;14,00;41,00;47,00;3,00;68,60;4,20;19,60;9,80
2019-05-26;35,00;14,00;52,00;46,00;4,00;68,60;2,80;19,60;11,20
2019-06-02;50,00;25,00;45,00;47,00;4,00;142,86;7,14;54,29;25,71
2019-06-09;41,00;15,00;45,00;55,00;4,00;87,66;7,07;24,03;11,31
2019-06-16;42,00;16,00;53,00;57,00;4,00;101,38;2,90;21,72;11,59
2019-06-23;38,00;21,00;39,00;48,00;3,00;99,93;2,81;19,70;12,67
2019-06-30;37,00;14,00;45,00;57,00;3,00;101,04;5,69;18,50;11,38
2019-07-07;56,00;24,00;59,00;64,00;5,00;124,92;7,18;34,46;35,90
2019-07-14;55,00;17,00;55,00;58,00;5,00;107,11;5,79;21,71;15,92
2019-07-21;44,00;20,00;47,00;58,00;5,00;112,13;7,10;24,13;19,87
2019-07-28;51,00;23,00;60,00;55,00;4,00;116,17;4,25;31,17;14,17
2019-08-04;57,00;19,00;58,00;62,00;6,00;123,98;4,28;22,80;12,83
2019-08-11;50,00;16,00;55,00;66,00;6,00;130,00;4,29;21,43;11,43
2019-08-18;45,00;20,00;50,00;58,00;5,00;123,39;5,81;23,23;11,61
2019-08-25;52,00;12,00;46,00;62,00;5,00;105,41;5,62;23,89;11,24
2019-09-01;42,00;17,00;44,00;60,00;5,00;91,24;4,34;23,17;13,03
2019-09-08;36,00;16,00;57,00;55,00;3,00;87,84;4,32;23,04;10,08
2019-09-15;38,00;11,00;48,00;59,00;4,00;78,81;2,81;19,70;9,85
2019-09-22;37,00;16,00;45,00;56,00;5,00;71,15;2,85;19,92;9,96
2019-09-29;36,00;13,00;58,00;54,00;6,00;69,12;4,32;18,72;10,08
2019-10-06;33,00;14,00;34,00;54,00;3,00;67,43;2,87;17,22;11,48
2019-10-13;35,00;15,00;45,00;53,00;4,00;65,80;4,20;14,00;9,80
2019-10-20;32,00;13,00;45,00;54,00;4,00;58,43;2,78;16,70;9,74
2019-10-27;35,00;13,00;39,00;51,00;4,00;56,88;4,38;16,04;13,13
2019-11-03;33,00;13,00;46,00;51,00;4,00;54,52;2,87;15,78;10,04
2019-11-10;31,00;14,00;36,00;52,00;3,00;52,14;2,82;12,68;9,86
2019-11-17;29,00;17,00;38,00;48,00;4,00;49,71;2,76;12,43;11,05
2019-11-24;28,00;11,00;31,00;39,00;3,00;44,80;4,20;11,20;11,20
2019-12-01;25,00;12,00;42,00;44,00;4,00;40,28;4,17;9,72;9,72
2019-12-08;27,00;10,00;34,00;38,00;2,00;42,63;2,84;14,21;11,37
2019-12-15;27,00;12,00;31,00;47,00;3,00;46,89;2,84;19,89;21,32
2019-12-22;35,00;12,00;36,00;73,00;4,00;63,00;4,20;21,00;18,20
2019-12-29;51,00;13,00;58,00;89,00;4,00;77,92;5,67;21,25;15,58
2020-01-05;63,00;15,00;56,00;82,00;3,00;78,75;2,86;20,05;17,18
2020-01-12;46,00;14,00;47,00;75,00;2,00;79,06;2,88;18,69;17,25
2020-01-19;43,00;17,00;51,00;67,00;3,00;78,83;4,30;18,63;18,63
2020-01-26;47,00;17,00;48,00;63,00;3,00;82,61;2,85;25,64;24,21
2020-02-02;42,00;14,00;45,00;57,00;4,00;60,83;5,79;31,86;30,41
2020-02-09;39,00;16,00;38,00;57,00;3,00;54,32;5,57;27,86;29,25
2020-02-16;39,00;18,00;45,00;48,00;3,00;53,44;4,33;27,44;24,56
2020-02-23;37,00;15,00;36,00;47,00;2,00;46,96;4,27;28,46;24,19
2020-03-01;28,00;11,00;43,00;56,00;2,00;42,00;5,60;33,60;37,80
2020-03-08;33,00;11,00;44,00;100,00;5,00;24,39;4,30;40,17;58,83
2020-03-15;14,00;5,00;22,00;39,00;3,00;19,60;2,80;26,60;19,60
2020-03-22;16,00;3,00;19,00;23,00;1,00;17,45;2,91;16,00;20,36
2020-03-29;14,00;7,00;12,00;27,00;1,00;16,80;4,20;15,40;28,00
2020-04-05;12,00;6,00;18,00;24,00;1,00;16,50;1,50;12,00;13,50
2020-04-12;13,00;4,00;19,00;26,00;1,00;17,33;1,44;11,56;8,67
2020-04-19;16,00;6,00;13,00;23,00;1,00;20,36;1,45;10,18;7,27
2020-04-26;10,00;7,00;16,00;27,00;0,50;14,29;1,43;10,00;7,14
2020-05-03;10,00;4,00;13,00;26,00;1,00;14,29;1,43;10,00;7,14
2020-05-10;11,00;5,00;12,00;25,00;1,00;18,86;1,57;9,43;7,86
2020-05-17;14,00;5,00;10,00;31,00;1,00;15,40;2,80;11,20;7,00
2020-05-24;13,00;10,00;16,00;30,00;1,00;20,22;4,33;10,11;5,78
2020-05-31;19,00;6,00;24,00;30,00;0,50;21,92;2,92;11,69;5,85
2020-06-07;18,00;9,00;16,00;33,00;1,00;23,54;1,38;11,08;6,92
2020-06-14;39,00;8,00;21,00;32,00;1,00;27,44;1,44;14,44;7,22
2020-06-21;39,00;10,00;24,00;29,00;1,00;26,46;1,39;12,54;6,96
2020-06-28;23,00;8,00;15,00;34,00;1,00;31,63;1,44;14,38;5,75
2020-07-05;26,00;9,00;26,00;39,00;1,00;30,33;2,89;15,89;5,78
2020-07-12;30,00;5,00;14,00;28,00;2,00;31,43;7,14;12,86;5,71
2020-07-19;32,00;11,00;27,00;29,00;2,00;33,45;4,36;13,09;7,27
2020-07-26;34,00;5,00;27,00;26,00;1,00;38,25;4,25;11,33;7,08
2020-08-02;32,00;9,00;30,00;33,00;1,00;38,96;5,57;13,91;6,96
2020-08-09;30,00;7,00;19,00;26,00;1,00;42,86;1,43;12,86;7,14
2020-08-16;34,00;6,00;18,00;22,00;1,00;42,50;2,83;14,17;5,67
2020-08-23;31,00;15,00;15,00;25,00;1,00;31,00;2,82;11,27;5,64
2020-08-30;19,00;6,00;14,00;18,00;2,00;27,14;4,07;10,86;5,43
2020-09-06;18,00;4,00;13,00;18,00;1,00;24,92;1,38;11,08;5,54
2020-09-13;17,00;6,00;8,00;19,00;1,00;24,08;2,83;11,33;5,67
2020-09-20;14,00;4,00;17,00;20,00;0,50;19,60;1,40;8,40;5,60
2020-09-27;15,00;4,00;14,00;19,00;1,00;25,50;1,50;12,00;6,00
2020-10-04;13,00;5,00;12,00;18,00;1,00;21,67;1,44;11,56;5,78
2020-10-11;12,00;3,00;12,00;18,00;0,50;14,67;0,67;9,33;6,67
2020-10-18;17,00;6,00;16,00;15,00;1,00;14,17;1,42;9,92;5,67
2020-10-25;10,00;5,00;6,00;16,00;0,50;11,43;2,86;8,57;5,71
2020-11-01;6,00;3,00;9,00;15,00;1,00;16,50;1,50;7,50;6,00
2020-11-08;9,00;6,00;8,00;16,00;1,00;15,00;1,50;10,50;7,50
2020-11-15;9,00;6,00;12,00;15,00;1,00;16,50;0,75;9,00;6,00
2020-11-22;11,00;6,00;12,00;15,00;1,00;15,13;1,38;6,88;5,50
2020-11-29;10,00;2,00;8,00;14,00;1,00;17,14;1,43;7,14;5,71
2020-12-06;9,00;4,00;7,00;13,00;1,00;15,00;1,50;9,00;6,00
2020-12-13;10,00;2,00;7,00;12,00;1,00;11,43;1,43;7,14;5,71
2020-12-20;10,00;2,00;13,00;21,00;0,50;14,29;4,29;7,14;5,71
2020-12-27;13,00;5,00;12,00;24,00;0,50;26,00;2,89;7,22;7,22
2021-01-03;14,00;5,00;10,00;19,00;1,00;21,00;2,80;9,80;5,60
2021-01-10;11,00;5,00;10,00;17,00;1,00;23,57;0,79;12,57;7,86
2021-01-17;12,00;5,00;11,00;18,00;1,00;22,50;1,50;12,00;6,00
2021-01-24;13,00;7,00;12,00;17,00;0,50;23,11;1,44;10,11;5,78
2021-01-31;12,00;4,00;12,00;17,00;1,00;21,00;1,50;9,00;7,50
2021-02-07;10,00;4,00;12,00;15,00;1,00;20,00;1,43;11,43;7,14
2021-02-14;15,00;6,00;10,00;16,00;1,00;19,50;1,50;12,00;7,50
2021-02-21;13,00;4,00;13,00;18,00;1,00;21,67;1,44;10,11;7,22
2021-02-28;12,00;5,00;12,00;20,00;1,00;24,00;1,50;10,50;7,50
2021-03-07;13,00;4,00;13,00;18,00;1,00;24,56;1,44;10,11;7,22
2021-03-14;12,00;3,00;15,00;17,00;1,00;20,00;1,33;9,33;6,67
2021-03-21;12,00;4,00;15,00;14,00;1,00;27,00;1,50;9,00;9,00
2021-03-28;10,00;8,00;11,00;17,00;0,50;34,29;1,43;7,14;7,14
2021-04-04;13,00;13,00;18,00;22,00;1,00;31,78;4,33;7,22;8,67
2021-04-11;10,00;8,00;7,00;19,00;1,00;30,00;1,43;8,57;7,14
2021-04-18;16,00;4,00;13,00;19,00;1,00;29,09;1,45;7,27;7,27
2021-04-25;17,00;9,00;18,00;19,00;1,00;32,58;1,42;7,08;7,08
2021-05-02;16,00;8,00;22,00;25,00;1,00;42,18;1,45;7,27;7,27
2021-05-09;20,00;9,00;20,00;27,00;2,00;41,43;1,43;10,00;8,57
2021-05-16;17,00;6,00;23,00;30,00;1,00;52,42;1,42;14,17;7,08
2021-05-23;22,00;10,00;19,00;31,00;1,00;49,50;1,38;9,63;11,00
2021-05-30;25,00;8,00;31,00;30,00;2,00;70,59;2,94;11,76;10,29
2021-06-06;27,00;9,00;24,00;33,00;2,00;63,95;2,84;14,21;11,37
2021-06-13;23,00;8,00;29,00;26,00;1,00;60,38;1,44;10,06;10,06
2021-06-20;26,00;13,00;27,00;32,00;2,00;66,44;1,44;14,44;8,67
2021-06-27;33,00;12,00;27,00;31,00;2,00;63,13;1,43;14,35;8,61
2021-07-04;31,00;12,00;31,00;36,00;2,00;78,91;2,82;14,09;9,86
2021-07-11;30,00;14,00;29,00;33,00;2,00;71,43;1,43;15,71;10,00
2021-07-18;40,00;9,00;40,00;35,00;2,00;62,86;1,43;17,14;10,00
2021-07-25;34,00;15,00;26,00;39,00;3,00;62,33;2,83;19,83;8,50
2021-08-01;34,00;11,00;28,00;44,00;2,00;65,17;1,42;18,42;8,50
2021-08-08;40,00;13,00;36,00;37,00;2,00;81,43;2,86;20,00;8,57
2021-08-15;37,00;14,00;32,00;38,00;3,00;83,96;2,85;18,50;9,96
2021-08-22;32,00;13,00;28,00;38,00;3,00;65,39;2,78;18,09;8,35
2021-08-29;27,00;12,00;29,00;39,00;1,00;58,26;2,84;14,21;8,53
2021-09-05;31,00;9,00;25,00;38,00;2,00;52,14;2,82;15,50;8,45
2021-09-12;23,00;13,00;24,00;39,00;3,00;40,25;1,44;15,81;8,63
2021-09-19;31,00;10,00;28,00;39,00;3,00;43,68;1,41;15,50;8,45
2021-09-26;29,00;13,00;20,00;38,00;3,00;40,60;4,35;14,50;8,70
2021-10-03;25,00;9,00;26,00;38,00;3,00;42,65;1,47;13,24;8,82
2021-10-10;27,00;9,00;31,00;44,00;4,00;45,47;2,84;14,21;8,53
2021-10-17;25,00;13,00;28,00;42,00;4,00;42,65;2,94;14,71;10,29
2021-10-24;27,00;9,00;24,00;40,00;4,00;42,63;4,26;9,95;9,95
2021-10-31;29,00;10,00;23,00;38,00;3,00;38,67;4,14;11,05;8,29
2021-11-07;26,00;10,00;20,00;32,00;2,00;34,67;2,89;11,56;8,67
2021-11-14;22,00;7,00;22,00;28,00;3,00;32,27;2,93;10,27;8,80
2021-11-21;21,00;4,00;14,00;25,00;1,00;22,40;1,40;9,80;8,40
2021-11-28;16,00;6,00;14,00;24,00;1,00;23,27;2,91;10,18;8,73
2021-12-05;16,00;6,00;13,00;25,00;1,00;24,73;0,73;8,73;11,64
2021-12-12;16,00;6,00;12,00;36,00;1,00;23,27;1,45;8,73;10,18
2021-12-19;16,00;6,00;8,00;38,00;2,00;21,82;1,45;11,64;13,09
2021-12-26;19,00;9,00;29,00;55,00;2,00;28,50;2,71;13,57;19,00
2022-01-02;22,00;10,00;26,00;48,00;2,00;35,75;2,75;16,50;12,38
2022-01-09;20,00;10,00;16,00;40,00;3,00;28,57;1,43;18,57;11,43
2022-01-16;19,00;11,00;21,00;39,00;1,00;30,69;2,92;13,15;10,23
2022-01-23;20,00;11,00;26,00;35,00;2,00;30,00;2,86;17,14;15,71
2022-01-30;23,00;12,00;20,00;32,00;3,00;50,31;1,44;12,94;10,06
2022-02-06;27,00;9,00;29,00;36,00;2,00;42,63;2,84;14,21;14,21
2022-02-13;26,00;17,00;26,00;38,00;2,00;49,11;0,72;14,44;11,56
2022-02-20;30,00;8,00;27,00;33,00;1,00;41,43;2,86;11,43;12,86
2022-02-27;23,00;11,00;22,00;28,00;3,00;35,94;1,44;11,50;10,06
2022-03-06;26,00;11,00;19,00;30,00;2,00;43,33;2,89;14,44;13,00
2022-03-13;28,00;10,00;23,00;30,00;2,00;47,16;2,95;14,74;14,74
2022-03-20;31,00;15,00;27,00;33,00;3,00;52,14;2,82;12,68;12,68
2022-03-27;27,00;11,00;28,00;32,00;2,00;54,00;2,84;18,47;12,79
2022-04-03;30,00;11,00;30,00;38,00;3,00;55,71;2,86;17,14;12,86
2022-04-10;26,00;18,00;25,00;39,00;3,00;59,22;4,33;20,22;11,56
2022-04-17;31,00;12,00;38,00;42,00;3,00;67,64;5,64;19,73;12,68
2022-04-24;32,00;20,00;34,00;39,00;3,00;68,17;5,57;18,09;11,13
2022-05-01;36,00;9,00;29,00;38,00;3,00;73,44;4,32;18,72;11,52
2022-05-08;34,00;15,00;35,00;41,00;4,00;79,33;2,83;17,00;11,33
2022-05-15;36,00;17,00;31,00;39,00;4,00;86,40;4,32;18,72;11,52
2022-05-22;47,00;17,00;44,00;46,00;3,00;88,30;5,70;19,94;15,67
2022-05-29;40,00;15,00;35,00;45,00;5,00;85,71;4,29;34,29;14,29
2022-06-05;41,00;15,00;37,00;51,00;3,00;91,90;5,66;18,38;11,31
2022-06-12;37,00;13,00;30,00;52,00;4,00;99,62;2,85;19,92;12,81
2022-06-19;41,00;17,00;29,00;46,00;3,00;110,28;5,66;24,03;12,72
2022-06-26;40,00;20,00;40,00;53,00;3,00;108,57;4,29;21,43;20,00
