Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;41,00;34,00;23,00;18,00;38,00;9,00;27,00;31,00;8,00
2019-01-13;40,00;33,00;25,00;16,00;43,00;9,00;32,00;25,00;3,00
2019-01-20;42,00;47,00;29,00;16,00;46,00;9,00;21,00;25,00;3,00
2019-01-27;36,00;20,00;22,00;23,00;41,00;12,00;31,00;20,00;2,00
2019-02-03;40,00;31,00;24,00;18,00;39,00;7,00;20,00;25,00;2,00
2019-02-10;46,00;31,00;18,00;24,00;39,00;14,00;26,00;22,00;2,00
2019-02-17;39,00;19,00;22,00;19,00;47,00;14,00;11,00;20,00;2,00
2019-02-24;42,00;26,00;19,00;19,00;57,00;12,00;17,00;22,00;3,00
2019-03-03;43,00;19,00;19,00;16,00;54,00;8,00;15,00;16,00;3,00
2019-03-10;39,00;7,00;13,00;21,00;54,00;10,00;17,00;21,00;2,00
2019-03-17;40,00;27,00;27,00;15,00;55,00;11,00;18,00;18,00;2,00
2019-03-24;45,00;29,00;18,00;15,00;50,00;13,00;16,00;20,00;3,00
2019-03-31;47,00;24,00;18,00;14,00;54,00;9,00;16,00;23,00;2,00
2019-04-07;46,00;24,00;22,00;18,00;56,00;12,00;14,00;25,00;3,00
2019-04-14;49,00;19,00;24,00;9,00;49,00;8,00;19,00;20,00;3,00
2019-04-21;38,00;18,00;11,00;14,00;44,00;12,00;19,00;17,00;3,00
2019-04-28;41,00;29,00;13,00;15,00;50,00;13,00;23,00;22,00;3,00
2019-05-05;38,00;17,00;19,00;14,00;57,00;9,00;17,00;18,00;3,00
2019-05-12;39,00;16,00;23,00;13,00;57,00;6,00;7,00;17,00;3,00
2019-05-19;36,00;25,00;17,00;17,00;56,00;11,00;19,00;27,00;5,00
2019-05-26;43,00;29,00;19,00;19,00;64,00;10,00;25,00;21,00;6,00
2019-06-02;44,00;26,00;12,00;24,00;64,00;13,00;15,00;23,00;3,00
2019-06-09;47,00;21,00;17,00;18,00;65,00;16,00;15,00;24,00;3,00
2019-06-16;38,00;26,00;18,00;19,00;69,00;13,00;31,00;27,00;3,00
2019-06-23;47,00;23,00;29,00;21,00;74,00;13,00;14,00;26,00;3,00
2019-06-30;48,00;28,00;8,00;18,00;85,00;15,00;19,00;25,00;4,00
2019-07-07;37,00;25,00;29,00;21,00;70,00;9,00;24,00;28,00;3,00
2019-07-14;43,00;36,00;36,00;19,00;80,00;15,00;18,00;24,00;3,00
2019-07-21;48,00;24,00;35,00;21,00;78,00;12,00;23,00;23,00;2,00
2019-07-28;55,00;28,00;26,00;22,00;86,00;14,00;23,00;25,00;3,00
2019-08-04;59,00;19,00;27,00;19,00;88,00;14,00;19,00;24,00;3,00
2019-08-11;51,00;20,00;18,00;18,00;79,00;12,00;32,00;25,00;3,00
2019-08-18;49,00;24,00;18,00;16,00;60,00;13,00;16,00;20,00;4,00
2019-08-25;38,00;12,00;33,00;19,00;51,00;12,00;19,00;20,00;4,00
2019-09-01;33,00;24,00;13,00;18,00;47,00;10,00;22,00;22,00;4,00
2019-09-08;30,00;17,00;14,00;23,00;34,00;7,00;16,00;24,00;4,00
2019-09-15;36,00;24,00;29,00;19,00;35,00;5,00;21,00;25,00;3,00
2019-09-22;37,00;20,00;15,00;14,00;34,00;9,00;19,00;28,00;4,00
2019-09-29;39,00;25,00;17,00;17,00;37,00;9,00;16,00;20,00;4,00
2019-10-06;45,00;16,00;16,00;15,00;39,00;8,00;10,00;25,00;3,00
2019-10-13;44,00;13,00;6,00;10,00;24,00;6,00;16,00;17,00;3,00
2019-10-20;39,00;20,00;17,00;12,00;29,00;4,00;19,00;17,00;4,00
2019-10-27;47,00;19,00;11,00;15,00;27,00;6,00;14,00;19,00;4,00
2019-11-03;47,00;19,00;18,00;12,00;22,00;7,00;18,00;16,00;3,00
2019-11-10;31,00;15,00;11,00;14,00;20,00;7,00;17,00;15,00;4,00
2019-11-17;33,00;20,00;20,00;11,00;28,00;6,00;15,00;15,00;3,00
2019-11-24;32,00;9,00;18,00;12,00;22,00;4,00;14,00;15,00;4,00
2019-12-01;32,00;18,00;17,00;11,00;28,00;6,00;16,00;13,00;4,00
2019-12-08;29,00;11,00;16,00;13,00;27,00;5,00;19,00;16,00;5,00
2019-12-15;30,00;21,00;11,00;7,00;23,00;5,00;16,00;17,00;5,00
2019-12-22;50,00;21,00;22,00;12,00;29,00;7,00;22,00;22,00;8,00
2019-12-29;43,00;34,00;6,00;15,00;25,00;10,00;17,00;27,00;5,00
2020-01-05;38,00;26,00;18,00;17,00;36,00;7,00;22,00;34,00;6,00
2020-01-12;35,00;25,00;30,00;19,00;36,00;6,00;25,00;33,00;6,00
2020-01-19;42,00;34,00;19,00;23,00;34,00;11,00;20,00;31,00;8,00
2020-01-26;37,00;31,00;16,00;16,00;34,00;7,00;27,00;28,00;5,00
2020-02-02;44,00;23,00;16,00;20,00;38,00;10,00;23,00;24,00;6,00
2020-02-09;45,00;17,00;12,00;13,00;42,00;10,00;16,00;22,00;6,00
2020-02-16;47,00;23,00;21,00;14,00;39,00;5,00;19,00;27,00;7,00
2020-02-23;37,00;24,00;20,00;12,00;39,00;7,00;17,00;21,00;6,00
2020-03-01;28,00;21,00;28,00;9,00;34,00;4,00;13,00;19,00;6,00
2020-03-08;24,00;9,00;16,00;7,00;20,00;1,00;8,00;13,00;6,00
2020-03-15;10,00;4,00;0,00;3,00;5,00;2,00;3,00;14,00;5,00
2020-03-22;6,00;1,00;5,00;2,00;6,00;1,00;3,00;10,00;5,00
2020-03-29;5,00;6,00;3,00;3,00;6,00;1,00;0,00;7,00;4,00
2020-04-05;8,00;9,00;2,00;3,00;9,00;2,00;4,00;8,00;5,00
2020-04-12;7,00;1,00;2,00;5,00;9,00;1,00;1,00;9,00;4,00
2020-04-19;7,00;3,00;8,00;5,00;7,00;1,00;2,00;8,00;4,00
2020-04-26;6,00;0,00;8,00;4,00;9,00;2,00;6,00;8,00;4,00
2020-05-03;10,00;8,00;5,00;5,00;10,00;1,00;2,00;11,00;4,00
2020-05-10;10,00;3,00;18,00;5,00;15,00;2,00;6,00;11,00;5,00
2020-05-17;8,00;10,00;2,00;8,00;15,00;4,00;10,00;12,00;6,00
2020-05-24;12,00;7,00;8,00;8,00;23,00;7,00;6,00;9,00;5,00
2020-05-31;24,00;9,00;13,00;10,00;26,00;6,00;5,00;17,00;9,00
2020-06-07;29,00;5,00;10,00;12,00;36,00;10,00;7,00;30,00;21,00
2020-06-14;37,00;19,00;17,00;11,00;37,00;15,00;12,00;21,00;13,00
2020-06-21;38,00;23,00;26,00;15,00;51,00;13,00;11,00;25,00;17,00
2020-06-28;46,00;20,00;12,00;14,00;51,00;14,00;16,00;17,00;6,00
2020-07-05;51,00;28,00;20,00;15,00;46,00;11,00;11,00;15,00;6,00
2020-07-12;59,00;14,00;30,00;20,00;47,00;14,00;13,00;14,00;7,00
2020-07-19;74,00;20,00;23,00;16,00;47,00;11,00;21,00;19,00;7,00
2020-07-26;87,00;11,00;31,00;17,00;59,00;14,00;13,00;18,00;7,00
2020-08-02;86,00;20,00;26,00;16,00;73,00;10,00;18,00;16,00;7,00
2020-08-09;86,00;6,00;16,00;15,00;67,00;15,00;10,00;18,00;7,00
2020-08-16;73,00;19,00;17,00;12,00;64,00;7,00;7,00;17,00;6,00
2020-08-23;31,00;15,00;19,00;11,00;44,00;6,00;13,00;21,00;6,00
2020-08-30;29,00;13,00;16,00;10,00;38,00;7,00;6,00;20,00;5,00
2020-09-06;46,00;14,00;12,00;14,00;29,00;9,00;13,00;12,00;4,00
2020-09-13;53,00;14,00;10,00;14,00;22,00;3,00;8,00;14,00;5,00
2020-09-20;52,00;17,00;12,00;12,00;15,00;3,00;6,00;13,00;6,00
2020-09-27;51,00;15,00;9,00;23,00;19,00;4,00;7,00;14,00;6,00
2020-10-04;61,00;5,00;18,00;19,00;21,00;3,00;4,00;14,00;6,00
2020-10-11;50,00;3,00;13,00;16,00;14,00;3,00;5,00;16,00;6,00
2020-10-18;58,00;13,00;18,00;19,00;8,00;1,00;2,00;13,00;6,00
2020-10-25;30,00;6,00;5,00;15,00;12,00;1,00;5,00;18,00;4,00
2020-11-01;33,00;13,00;7,00;14,00;10,00;1,00;7,00;16,00;5,00
2020-11-08;39,00;9,00;9,00;14,00;10,00;1,00;6,00;19,00;6,00
2020-11-15;29,00;1,00;9,00;20,00;12,00;2,00;5,00;15,00;6,00
2020-11-22;19,00;6,00;9,00;11,00;9,00;0,50;8,00;12,00;5,00
2020-11-29;38,00;9,00;0,00;11,00;9,00;0,50;3,00;15,00;5,00
2020-12-06;63,00;5,00;12,00;11,00;11,00;1,00;6,00;15,00;6,00
2020-12-13;65,00;11,00;4,00;15,00;9,00;1,00;5,00;15,00;4,00
2020-12-20;48,00;15,00;10,00;19,00;7,00;1,00;4,00;14,00;6,00
2020-12-27;28,00;8,00;18,00;5,00;15,00;1,00;8,00;11,00;5,00
2021-01-03;52,00;5,00;11,00;13,00;12,00;2,00;5,00;10,00;6,00
2021-01-10;34,00;12,00;5,00;9,00;11,00;1,00;3,00;12,00;5,00
2021-01-17;53,00;7,00;23,00;16,00;12,00;2,00;4,00;15,00;5,00
2021-01-24;41,00;14,00;12,00;10,00;14,00;2,00;6,00;9,00;5,00
2021-01-31;48,00;17,00;9,00;16,00;14,00;3,00;2,00;15,00;5,00
2021-02-07;62,00;6,00;21,00;10,00;14,00;4,00;3,00;23,00;5,00
2021-02-14;43,00;12,00;11,00;13,00;11,00;0,50;8,00;12,00;6,00
2021-02-21;32,00;9,00;16,00;18,00;17,00;3,00;6,00;10,00;5,00
2021-02-28;26,00;5,00;19,00;6,00;17,00;1,00;8,00;10,00;5,00
2021-03-07;31,00;8,00;10,00;9,00;21,00;2,00;6,00;12,00;7,00
2021-03-14;55,00;7,00;16,00;25,00;25,00;3,00;8,00;24,00;5,00
2021-03-21;56,00;6,00;14,00;25,00;21,00;2,00;5,00;29,00;7,00
2021-03-28;18,00;11,00;12,00;19,00;20,00;1,00;5,00;20,00;7,00
