Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;13,00;46,80;36,40;23,40;236,60;28,00;36,00;17,00;7,00
2019-04-28;13,00;41,60;31,20;20,80;213,20;26,00;39,00;16,00;7,00
2019-05-05;12,00;38,40;24,00;26,40;182,40;28,00;27,00;17,00;8,00
2019-05-12;13,00;41,60;31,20;23,40;192,40;21,00;30,00;18,00;8,00
2019-05-19;13,00;34,67;28,17;19,50;169,00;25,00;31,00;20,00;8,00
2019-05-26;13,00;36,83;26,00;17,33;184,17;23,00;33,00;20,00;8,00
2019-06-02;14,00;37,33;32,67;21,00;205,33;26,00;34,00;20,00;8,00
2019-06-09;15,00;37,50;27,50;22,50;222,50;25,00;29,00;19,00;8,00
2019-06-16;13,00;41,60;31,20;26,00;244,40;25,00;30,00;23,00;9,00
2019-06-23;12,00;38,40;26,40;24,00;230,40;27,00;29,00;22,00;9,00
2019-06-30;12,00;43,20;28,80;24,00;225,60;26,00;32,00;21,00;8,00
2019-07-07;14,00;44,33;28,00;23,33;214,67;26,00;37,00;22,00;8,00
2019-07-14;16,00;56,00;34,67;29,33;248,00;26,00;41,00;22,00;8,00
2019-07-21;13,00;49,40;33,80;28,60;254,80;29,00;40,00;24,00;8,00
2019-07-28;15,00;57,50;32,50;30,00;237,50;31,00;49,00;23,00;7,00
2019-08-04;13,00;54,60;31,20;31,20;260,00;35,00;42,00;22,00;7,00
2019-08-11;14,00;46,67;28,00;28,00;231,00;33,00;37,00;21,00;7,00
2019-08-18;14,00;39,67;28,00;25,67;210,00;31,00;31,00;20,00;8,00
2019-08-25;12,00;38,40;28,80;26,40;208,80;31,00;27,00;20,00;7,00
2019-09-01;13,00;52,00;36,40;28,60;223,60;33,00;28,00;21,00;7,00
2019-09-08;13,00;46,80;36,40;26,00;226,20;34,00;33,00;22,00;7,00
2019-09-15;15,00;40,00;37,50;30,00;215,00;33,00;33,00;24,00;8,00
2019-09-22;15,00;42,50;37,50;27,50;212,50;34,00;31,00;22,00;8,00
2019-09-29;18,00;46,29;41,14;28,29;228,86;37,00;33,00;22,00;8,00
2019-10-06;14,00;42,00;37,33;23,33;198,33;34,00;37,00;22,00;7,00
2019-10-13;14,00;39,67;35,00;21,00;207,67;32,00;37,00;22,00;7,00
2019-10-20;14,00;49,00;35,00;23,33;217,00;32,00;36,00;21,00;7,00
2019-10-27;12,00;52,80;33,60;28,80;228,00;76,00;26,00;19,00;6,00
2019-11-03;12,00;45,60;28,80;24,00;196,80;33,00;28,00;19,00;7,00
2019-11-10;11,00;37,40;26,40;22,00;171,60;33,00;29,00;18,00;6,00
2019-11-17;12,00;40,80;26,40;24,00;182,40;32,00;27,00;18,00;7,00
2019-11-24;11,00;41,25;33,00;27,50;203,50;32,00;29,00;17,00;6,00
2019-12-01;11,00;35,20;28,60;22,00;167,20;35,00;28,00;18,00;7,00
2019-12-08;11,00;33,00;26,40;19,80;171,60;31,00;25,00;16,00;7,00
2019-12-15;12,00;40,80;33,60;19,20;194,40;28,00;28,00;19,00;7,00
2019-12-22;15,00;50,00;37,50;22,50;225,00;37,00;35,00;21,00;9,00
2019-12-29;15,00;47,50;30,00;22,50;227,50;41,00;33,00;22,00;9,00
2020-01-05;14,00;35,00;30,33;23,33;175,00;33,00;31,00;25,00;9,00
2020-01-12;13,00;44,20;31,20;28,60;208,00;36,00;33,00;24,00;9,00
2020-01-19;13,00;44,20;28,60;26,00;202,80;32,00;32,00;22,00;9,00
2020-01-26;11,00;37,40;22,00;22,00;165,00;29,00;29,00;20,00;8,00
2020-02-02;12,00;38,40;24,00;24,00;184,80;26,00;29,00;21,00;8,00
2020-02-09;12,00;38,40;28,80;24,00;192,00;29,00;31,00;23,00;8,00
2020-02-16;13,00;39,00;28,17;23,83;182,00;28,00;32,00;22,00;9,00
2020-02-23;11,00;37,40;26,40;17,60;176,00;24,00;31,00;21,00;9,00
2020-03-01;11,00;41,25;27,50;22,00;189,75;20,00;28,00;20,00;8,00
2020-03-08;10,00;40,00;20,00;17,50;175,00;13,00;22,00;16,00;9,00
2020-03-15;6,00;27,00;21,00;12,00;111,00;12,00;11,00;11,00;7,00
2020-03-22;4,00;12,00;8,00;6,00;38,00;9,00;8,00;6,00;5,00
2020-03-29;4,00;12,00;6,00;6,00;38,00;9,00;10,00;6,00;4,00
2020-04-05;4,00;10,00;6,00;6,00;34,00;8,00;6,00;6,00;4,00
2020-04-12;3,00;15,00;12,00;9,00;48,00;9,00;8,00;6,00;4,00
2020-04-19;3,00;12,00;9,00;6,00;48,00;8,00;6,00;5,00;3,00
2020-04-26;3,00;12,00;9,00;6,00;54,00;8,00;7,00;6,00;3,00
2020-05-03;3,00;12,00;9,00;6,00;57,00;8,00;7,00;6,00;3,00
